#支付宝账务明细查询
#账号：[20888328927292170156]
#起始日期：[2026年03月01日 00:00:00]   终止日期：[2026年04月01日 00:00:00]
#-----------------------------------------账务明细列表----------------------------------------
账务流水号,业务流水号,商户订单号,商品名称,发生时间,对方账号,收入金额（+元）,支出金额（-元）,账户余额（元）,交易渠道,业务类型,备注
1570783120256829211	,2022081610002001210211406648|20260301464206512102	,at/647684643	,	,2026-03-01 00:10:03,****号	,3.00,0.00,2169.19,支付宝,其它,1688保证金-支付-产生交易理赔，用您的保证金赔付给买家，理赔单号2307038376785	
1570783120257029210	,2022081610002001210211406648|20260301464206512102	,at/647684643	,	,2026-03-01 00:10:03,阿里巴巴(中国)网络技术有限公司(1688famo@alibaba-inc.com)	,0.00,-3.00,2166.19,支付宝,其它,1688保证金-支付-产生交易理赔，用您的保证金赔付给买家，理赔单号2307038376785	
1570783149287629211	,2022081610002001210211406648|20260301478814162102	,at/647833172	,	,2026-03-01 00:32:04,****号	,3.00,0.00,2169.19,支付宝,其它,1688保证金-支付-产生交易理赔，用您的保证金赔付给买家，理赔单号2306909036785	
1570783149287829210	,2022081610002001210211406648|20260301478814162102	,at/647833172	,	,2026-03-01 00:32:04,阿里巴巴(中国)网络技术有限公司(1688famo@alibaba-inc.com)	,0.00,-3.00,2166.19,支付宝,其它,1688保证金-支付-产生交易理赔，用您的保证金赔付给买家，理赔单号2306909036785	
1570782953748529211	,2022081610002001210211406648|20260301469582932102	,at/647952105	,	,2026-03-01 02:17:49,****号	,3.00,0.00,2169.19,支付宝,其它,1688保证金-支付-产生交易理赔，用您的保证金赔付给买家，理赔单号2307418409298	
1570782953748729210	,2022081610002001210211406648|20260301469582932102	,at/647952105	,	,2026-03-01 02:17:49,阿里巴巴(中国)网络技术有限公司(1688famo@alibaba-inc.com)	,0.00,-3.00,2166.19,支付宝,其它,1688保证金-支付-产生交易理赔，用您的保证金赔付给买家，理赔单号2307418409298	
1570763841867345171	,2026030123001845171437271409	,T50060NP5089825332840383426	,跨境儿童益智抢答器蜂鸣器课堂知识竞赛手按铃游戏PK比赛道具玩具	,2026-03-01 02:32:39,**博(155******91)	,24.79,0.00,2190.98,支付宝,其它,跨境儿童益智抢答器蜂鸣器课堂知识竞赛手按铃游戏PK比赛道具玩具	
1570783107457329210	,2026030110002001210523528926	,FI960100FDO007326030102384562921	,	,2026-03-01 02:32:41,杭州阿里巴巴智融数字技术有限公司(jszz@service.aliyun.com)	,0.00,-0.04,2190.94,支付宝,其它,1688增值服务-1688-极速周转-服务费(5089825332840383426)	
1570782958677829211	,2022081610002001210211406648|20260301472935142102	,at/647910393	,	,2026-03-01 03:03:46,****号	,3.00,0.00,2193.94,支付宝,其它,1688保证金-支付-产生交易理赔，用您的保证金赔付给买家，理赔单号2308161289298	
1570782958678029210	,2022081610002001210211406648|20260301472935142102	,at/647910393	,	,2026-03-01 03:03:46,阿里巴巴(中国)网络技术有限公司(1688famo@alibaba-inc.com)	,0.00,-3.00,2190.94,支付宝,其它,1688保证金-支付-产生交易理赔，用您的保证金赔付给买家，理赔单号2308161289298	
