动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-03-01 04:05:52,'2026030104054804922086665681,入账,6.16,聚合账户,货款结算入账,精选联盟,'6924355956920909081,'6924355956920909081,'SS76111098659389281780242,2026-02-14 01:35:27,'3703671597891191029,儿童口腔牙科小医生护士医疗玩具 仿真牙医套装过家家,'0,,普通订单,5.52,0,0,1.32,0,0,0,0,0,0,0,0,-0.34,0,0,0,0,-0.34,0,,0,佛山市南海区悦人生贸易商行,订单结算
2026-03-02 08:21:02,'2026030208205605620534145681,入账,18.25,聚合账户,货款结算入账,小店自卖,'6924439887655566649,'6924439887655566649,'SS76114534635363579420073,2026-02-22 11:31:47,'3758953782172582348,亲子互动搞笑聚会休闲整蛊搞怪多人桌面游戏挤痘痘喷水解压玩具,,,普通订单,18.36,0,0,0,0,0,0,0,0,0,0,0,-0.11,0,0,0,0,0,0,是-商品卡免佣,0.81,佛山市南海区悦人生贸易商行,订单结算
2026-03-03 07:56:42,'2026030307563837845404795681,入账,14.85,聚合账户,货款结算入账,小店自卖,'6924386707348160428,'6924386707348160428,'SS76118522769022323390031,2026-02-18 12:03:10,'3766153744996237370,ufo飞碟智能感应回旋飞陀螺发光炫酷遥控飞行陀螺儿童玩具魔术,,,普通订单,10.54,0,0,4.4,0,0,0,0,0,0,0,0,-0.09,0,0,0,0,0,0,是-商品卡免佣,0.66,佛山市南海区悦人生贸易商行,订单结算
2026-03-03 08:13:08,'2026030308130236410826505681,入账,6.95,聚合账户,货款结算入账,小店自卖,'6924389494439968603,'6924389494439968603,'SS76117995960122946650134,2026-02-19 09:28:18,'3758772313210880396,女孩睡眠仿真重生娃娃女孩公主睡觉儿童玩具bjd洋娃娃过家家玩具,,,普通订单,6.99,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,是-商品卡免佣,0.29,佛山市南海区悦人生贸易商行,订单结算
2026-03-03 08:13:08,'2026030308130421772705545681,入账,7.57,聚合账户,货款结算入账,小店自卖,'6950754658385139240,'6950754658385139240,'SS76118498846813598820143,2026-02-16 17:44:48,'3696061877965685066,儿童整蛊马桶投粑粑趣味马桶创意恶搞新奇特桌面游戏亲子互动玩具,,,普通订单,7.62,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,佛山市南海区悦人生贸易商行,订单结算
2026-03-04 08:46:39,'2026030408463626771297805681,入账,8.31,聚合账户,货款结算入账,小店自卖,'6924484545450900485,'6924484545450900485,'SS76121718364886676990201,2026-02-24 20:21:24,'3680825909075640467,宝宝趣味抓球游戏娃娃机迷你娃娃机亲子互动手眼协调儿童益智玩具,,,普通订单,8.36,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,是-商品卡免佣,0.37,佛山市南海区悦人生贸易商行,订单结算
2026-03-04 08:46:42,'2026030408463941318981395681,入账,14.3,聚合账户,货款结算入账,精选联盟,'6950847644239992522,'6950847644239992522,'SS76122408942969533500047,2026-02-22 22:26:37,'3695471077506547975,儿童仿真益智汽车车载360度旋转模拟驾驶方向副驾驶方向盘模拟器,'96496916275,澜澜种草,普通订单,15.9,0,0,0,0,0,0,0,0,0,0,0,-0.8,-0.8,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,订单结算
2026-03-06 03:47:23,'2026030603472009564042705681,入账,10.06,聚合账户,货款结算入账,精选联盟,'6924447070969626406,'6924447070969626406,'SS76129275576334584820110,2026-02-23 01:01:08,'3696260792950325399,宝宝安抚仿真婴儿娃娃搪胶娃娃公仔玩偶亲子互动儿童萌趣玩具礼物,'4089777029660560,美美穿搭🎀,普通订单,11.18,0,0,0,0,0,0,0,0,0,0,0,-0.56,-0.56,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,订单结算
2026-03-06 03:47:23,'2026030603472020261937165681,入账,2,聚合账户,货款结算入账,小店自卖,'6950945856806983044,'6950945856806983044,'SS76129441606281961380011,2026-02-28 21:40:44,'3792314824554316089,安静书女孩新款手工diy儿童三丽鸥不用剪免裁剪库洛米美乐蒂玩具,,,普通订单,2.01,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,是-商品卡免佣,0.07,佛山市南海区悦人生贸易商行,订单结算
2026-03-06 03:57:56,'2026030603575325677829485681,出账,3,聚合账户,消费者赔付,,'6924561357687914022,'6924561357687914022,,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,佛山市南海区悦人生贸易商行,因订单存在「发货超时」问题，对消费者进行赔付
