#支付宝账务明细查询
#账号：[20886317574918700156]
#起始日期：[2026年03月01日 00:00:00]   终止日期：[2026年04月01日 00:00:00]
#-----------------------------------------账务明细列表----------------------------------------
账务流水号,业务流水号,商户订单号,商品名称,发生时间,对方账号,收入金额（+元）,支出金额（-元）,账户余额（元）,交易渠道,业务类型,备注
1570722120388585831	,2026030122001885831434769347	,T50060NP3268403257024361665	,可咬兔子手摇铃玩具新生儿抓握训练宝宝益智0-1-2岁3婴儿6-12个月	,2026-03-01 02:52:53,**婷(178******75)	,14.00,0.00,14.00,支付宝,其它,可咬兔子手摇铃玩具新生儿抓握训练宝宝益智0-1-2岁3婴儿6-12个月	
1570728801356891870	,2026030110002001870578583631	,FI960100FDO010326030102387528778	,	,2026-03-01 02:52:55,杭州阿里巴巴智融数字技术有限公司(jszz@service.aliyun.com)	,0.00,-0.03,13.97,支付宝,其它,1688增值服务-1688-极速周转-服务费(3268403257024361665)	
1570728732897391870	,2026030110002001870578613514	,20260301012510000000870057685074	,	,2026-03-01 02:58:41,杭州阿里巴巴智融数字技术有限公司(pzbzx@service.aliyun.com)	,0.00,-0.05,13.92,支付宝,其它,1688增值买家保障服务费-3261043347302361665（单笔主订单各SKU子单的总费用）	
1570728733778491870	,2026030110002001870578562764	,20260301012510000000870057693956	,	,2026-03-01 02:58:59,杭州阿里巴巴智融数字技术有限公司(pzbzx@service.aliyun.com)	,0.00,-0.05,13.87,支付宝,其它,1688增值买家保障服务费-3244819371593361665（单笔主订单各SKU子单的总费用）	
1570728767152091871	,2021041510002001870200000001|20260301067611338702	,at/647825925	,	,2026-03-01 05:30:48,****号	,3.00,0.00,16.87,支付宝,其它,1688保证金-支付-产生交易理赔，用您的保证金赔付给买家，理赔单号2307753178893	
1570728767152291870	,2021041510002001870200000001|20260301067611338702	,at/647825925	,	,2026-03-01 05:30:48,阿里巴巴(中国)网络技术有限公司(1688famo@alibaba-inc.com)	,0.00,-3.00,13.87,支付宝,其它,1688保证金-支付-产生交易理赔，用您的保证金赔付给买家，理赔单号2307753178893	
1570772067711142081	,2026030123001842081431620771	,T50060NP3268095890736902793	,可咬兔子手摇铃玩具新生儿抓握训练宝宝益智0-1-2岁3婴儿6-12个月	,2026-03-01 09:19:40,**燕(158******47)	,11.55,0.00,25.42,支付宝,其它,可咬兔子手摇铃玩具新生儿抓握训练宝宝益智0-1-2岁3婴儿6-12个月	
1570728817111091870	,2026030110002001870578510191	,FI960100FDO000626030102387353893	,	,2026-03-01 09:19:42,杭州阿里巴巴智融数字技术有限公司(jszz@service.aliyun.com)	,0.00,-0.02,25.40,支付宝,其它,1688增值服务-1688-极速周转-服务费(3268095890736902793)	
1571326565356000401	,2026030110002001400541959512	,02960100030062426030100867536741	,	,2026-03-01 10:07:46,****y	,15.00,0.00,40.40,支付宝,其它,1688增值服务-先采后付保理贴现:3266172339930927488	
1571145558636400821	,2026030110002001820557291359	,02960100030062426030100867548779	,	,2026-03-01 10:07:46,****y	,12.00,0.00,52.40,支付宝,其它,1688增值服务-先采后付保理贴现:3264307465886720384	
1570728781828091870	,2026030110002001870578290027	,CREDIT_PAY_SELLER_FACTORING_FEE_02960100030062426030100867536741	,	,2026-03-01 10:07:47,深圳市一达通商业保理有限公司(ydt-baoli@alibaba-inc.com)	,0.00,-0.09,52.31,支付宝,其它,1688增值服务-先采后付提前回款费用-3266172339930927488	
