#支付宝账务明细查询
#账号：[20880321108175200156]
#起始日期：[2026年03月01日 00:00:00]   终止日期：[2026年04月01日 00:00:00]
#-----------------------------------------账务明细列表----------------------------------------
账务流水号,业务流水号,商户订单号,商品名称,发生时间,对方账号,收入金额（+元）,支出金额（-元）,账户余额（元）,交易渠道,业务类型,备注
1570856603901017520	,20260301102551010417520049331877	,26030169402760310700	,	,2026-03-01 10:08:07	,国泰财产保险有限责任公司(accounting7@cathay-ins.com.cn)	,0.00	,-0.60	,142.49	,支付宝	,其它	,保险承保-卖家版运费险保费收取:淘宝订单号5089347253221118812	
1570856641231717520	,20260301102551010417520049375144	,26030169464821811023	,	,2026-03-01 10:08:08	,国泰财产保险有限责任公司(accounting7@cathay-ins.com.cn)	,0.00	,-0.60	,141.89	,支付宝	,其它	,保险承保-卖家版运费险保费收取:淘宝订单号5088034550786079534	
1570856759074317520	,20260301102551010417520049306020	,26030169456245310065	,	,2026-03-01 10:08:43	,国泰财产保险有限责任公司(accounting7@cathay-ins.com.cn)	,0.00	,-0.60	,141.29	,支付宝	,其它	,保险承保-卖家版运费险保费收取:淘宝订单号5088955359644745934	
1570856771981517520	,20260301102551010417520049643178	,26030169218322210983	,	,2026-03-01 10:09:10	,国泰财产保险有限责任公司(accounting7@cathay-ins.com.cn)	,0.00	,-0.60	,140.69	,支付宝	,其它	,保险承保-卖家版运费险保费收取:淘宝订单号5088662533267662334	
1570856716178017520	,20260301102551010417520049332915	,26030168981667510145	,	,2026-03-01 10:09:17	,国泰财产保险有限责任公司(accounting7@cathay-ins.com.cn)	,0.00	,-0.60	,140.09	,支付宝	,其它	,保险承保-卖家版运费险保费收取:淘宝订单号4502095275039027335	
1570856643041017520	,20260301102551010417520049347967	,26030169113175810693	,	,2026-03-01 10:09:47	,国泰财产保险有限责任公司(accounting7@cathay-ins.com.cn)	,0.00	,-0.60	,139.49	,支付宝	,其它	,保险承保-卖家版运费险保费收取:淘宝订单号3266235375674911195	
1570856721650817520	,20260301102551010417520049634947	,26030169537859210255	,	,2026-03-01 10:10:34	,国泰财产保险有限责任公司(accounting7@cathay-ins.com.cn)	,0.00	,-0.60	,138.89	,支付宝	,其它	,保险承保-卖家版运费险保费收取:淘宝订单号5088950100891370344	
1570856597700517520	,20260301102551010417520049354416	,26030169012198310883	,	,2026-03-01 10:10:34	,国泰财产保险有限责任公司(accounting7@cathay-ins.com.cn)	,0.00	,-0.60	,138.29	,支付宝	,其它	,保险承保-卖家版运费险保费收取:淘宝订单号3267620976039813896	
1570874506683956121	,2026020322001156121406309983	,T200P3225595873375832884	,儿童专注力记忆训练游戏机抖音学生锻炼提升益智玩具防呆	,2026-03-01 10:44:38	,* RACHEL XIN PEI(65-923***54)	,11.64	,0.00	,149.93	,支付宝	,交易付款	,儿童专注力记忆训练游戏机抖音学生锻炼提升益智玩具防呆	
1570874539216556120	,2026020322001156121406309983	,T200P3225595873375832884	,儿童专注力记忆训练游戏机抖音学生锻炼提升益智玩具防呆	,2026-03-01 10:44:54	,浙江淘宝商业科技有限公司(rjfwf@service.aliyun.com)	,0.00	,-0.07	,149.86	,支付宝	,交易分账	,基础软件服务费(3225595873375832884)扣款	
