商品ID,商品标题,类目ID,属性名称,属性值,记录时间
601099808023150,"[Wireless MP3 Player] Wireless 5.3 64GB MP3 Player | 2.4"" Full Touch Screen Metal Cover Portable MP3 Player with Speaker Voice Recording, FM Radio Support 128GB MIC SD card TF card",2732,连接技术,USB,2026-04-10 18:21:20
601099808023150,"[Wireless MP3 Player] Wireless 5.3 64GB MP3 Player | 2.4"" Full Touch Screen Metal Cover Portable MP3 Player with Speaker Voice Recording, FM Radio Support 128GB MIC SD card TF card",2732,支持的标准,mp3,2026-04-10 18:21:20
601099745943708,64GB无线5.3 MP3播放器，儿童运动夹式迷你设计，HiFi音乐，1.5英寸TFT显示屏，音量控制，FM收音机，附赠计步器及耳机，可扩展至128GB MIC SD/TF卡,2732,电池属性,可充电电池,2026-04-10 18:21:21
601099745943708,64GB无线5.3 MP3播放器，儿童运动夹式迷你设计，HiFi音乐，1.5英寸TFT显示屏，音量控制，FM收音机，附赠计步器及耳机，可扩展至128GB MIC SD/TF卡,2732,可充电电池,锂电池--聚合物,2026-04-10 18:21:21
601099756888552,"MAYAPHILOS Kids Games Magnetic Tiles Road Set, Red Black Yellow Blue Green, with Extendable Magnetic Crane, City Construction Building Toys, for Preschool, 3+ Year Old Boys Girls, with Car, for Color Recognition Shape Recognition Concentration Hand-eye Coordination Creative Thinking Engineering Skills Motor Skills",25477,品牌名,MAYAPHILOS,2026-04-10 18:21:22
601099736507455,这款1.8英寸MP3播放器自带64G TF卡，提供多种功能，包括音乐播放、电子书阅读、闹钟和录音功能，是运动和旅行的理想便携式音乐设备！,2732,电池属性,可充电电池,2026-04-10 18:21:22
601099736507455,这款1.8英寸MP3播放器自带64G TF卡，提供多种功能，包括音乐播放、电子书阅读、闹钟和录音功能，是运动和旅行的理想便携式音乐设备！,2732,可充电电池,锂电池--聚合物,2026-04-10 18:21:22
601099736507455,这款1.8英寸MP3播放器自带64G TF卡，提供多种功能，包括音乐播放、电子书阅读、闹钟和录音功能，是运动和旅行的理想便携式音乐设备！,2732,支持的标准,mp3,2026-04-10 18:21:22
601099736507455,这款1.8英寸MP3播放器自带64G TF卡，提供多种功能，包括音乐播放、电子书阅读、闹钟和录音功能，是运动和旅行的理想便携式音乐设备！,2732,显示技术,液晶显示器,2026-04-10 18:21:22
601099736507455,这款1.8英寸MP3播放器自带64G TF卡，提供多种功能，包括音乐播放、电子书阅读、闹钟和录音功能，是运动和旅行的理想便携式音乐设备！,2732,媒体类型,微型sd,2026-04-10 18:21:22
601099736507455,这款1.8英寸MP3播放器自带64G TF卡，提供多种功能，包括音乐播放、电子书阅读、闹钟和录音功能，是运动和旅行的理想便携式音乐设备！,2732,品牌名,XBENDON,2026-04-10 18:21:22
601099736507455,这款1.8英寸MP3播放器自带64G TF卡，提供多种功能，包括音乐播放、电子书阅读、闹钟和录音功能，是运动和旅行的理想便携式音乐设备！,2732,电池容量（mAh）,200,2026-04-10 18:21:22
601099692504373,木制磁性字母迷宫学习玩具，启蒙智力发展早期教具精细运动技能玩具，儿童生日、万圣节、圣诞节礼物的感官玩具,25477,主体材质,其它,2026-04-10 18:21:23
601099692504373,木制磁性字母迷宫学习玩具，启蒙智力发展早期教具精细运动技能玩具，儿童生日、万圣节、圣诞节礼物的感官玩具,25477,颜色,混合色,2026-04-10 18:21:23
601099644495919,"YFFIZQ 32GB MP3 Player Featuring Wireless 5.1, a 2.8'' Full Touch Screen, Designed for Music Enthusiasts. This Portable Hifi Lossless Sound MP4 Music Player Includes a Speaker, FM Radio, Recorder, E-Book Reader, Pedometer, Armband",2732,支持的标准,avi,2026-04-10 18:21:24
601099644495919,"YFFIZQ 32GB MP3 Player Featuring Wireless 5.1, a 2.8'' Full Touch Screen, Designed for Music Enthusiasts. This Portable Hifi Lossless Sound MP4 Music Player Includes a Speaker, FM Radio, Recorder, E-Book Reader, Pedometer, Armband",2732,品牌名,YFFIZQ,2026-04-10 18:21:24
601099642934875,68GB音乐播放器，MP3/MP4媒体播放器，无线5.0，便携式运动音箱带挂绳，高保真音质，电子书阅读器，闹钟录音机，含耳机，便携娱乐设备，时尚设计，坚固构造，数字录音机，科技爱好者，健身音乐，小巧便携，可靠设备，学生专用,2732,电池属性,可充电电池,2026-04-10 18:21:25
601099642934875,68GB音乐播放器，MP3/MP4媒体播放器，无线5.0，便携式运动音箱带挂绳，高保真音质，电子书阅读器，闹钟录音机，含耳机，便携娱乐设备，时尚设计，坚固构造，数字录音机，科技爱好者，健身音乐，小巧便携，可靠设备，学生专用,2732,可充电电池,锂电池--聚合物,2026-04-10 18:21:25
601099642934875,68GB音乐播放器，MP3/MP4媒体播放器，无线5.0，便携式运动音箱带挂绳，高保真音质，电子书阅读器，闹钟录音机，含耳机，便携娱乐设备，时尚设计，坚固构造，数字录音机，科技爱好者，健身音乐，小巧便携，可靠设备，学生专用,2732,连接技术,蓝牙,2026-04-10 18:21:25
