平台,店铺,商品名称,sku,抓取数据日期,今日销量,近7天销量,近30天销量,平台库存,在途库存
TEMU,101-Temu全托管,"Electric Transforming Car Toy For Kids Transforming Police Car Vehicle Toys With Lights, Deformation Car Vehicle Toys for Boys",393-50wr,1776830464645,0,0.0,0.0,0,0
TEMU,101-Temu全托管,"Electric Transforming Car Toy For Kids Transforming Police Car Vehicle Toys With Lights, Deformation Car Vehicle Toys for Boys",393-50bl,1776830464645,0,0.0,0.0,0,0
TEMU,101-Temu全托管,"Little Cute Rabbit Flying Chess, children's educational parent-child interactive board game toy, multiplayer battle trap game, children's educational game",595-24,1776830464645,0,0.0,0.0,0,0
TEMU,101-Temu全托管,Press toy Dinosaur kids catapult small plane Baby inertia pull-back toy gift,XQS2066A,1776830464645,0,0.0,0.0,0,0
TEMU,101-Temu全托管,"Hand-held ball, cute baby rattle with a little snail, educational toy ball, physical development training toy, sensory educational toy",SD-75,1776830464645,0,0.0,0.0,0,0
TEMU,101-Temu全托管,"Hand-held ball, cute baby rattle with a little snail, educational toy ball, physical development training toy, sensory educational toy",SD-73-bl,1776830464645,0,0.0,0.0,0,0
TEMU,101-Temu全托管,"Hand-held ball, cute baby rattle with a little snail, educational toy ball, physical development training toy, sensory educational toy",SD-73-ye,1776830464645,0,0.0,0.0,0,0
TEMU,101-Temu全托管,"Creative Toilet Prank Game, Children's Flush Toilet Party Game Gift, Funny Interactive Puzzle Toy, Gift Suitable for Boys and Girls",007-130,1776830464645,0,0.0,0.0,0,0
TEMU,101-Temu全托管,"Simulation Tool Kit Set for Kids,Children Role Play Game Backpack Box Toy,STEM Learning Educational Pretend Play Kit for Ages 3-8 Gift",9988-157,1776830464645,0,0.0,0.0,0,0
TEMU,101-Temu全托管,"Simulation Tool Kit Set for Kids,Children Role Play Game Backpack Box Toy,STEM Learning Educational Pretend Play Kit for Ages 3-8 Gift",9988-166,1776830464645,0,0.0,0.0,0,0
TEMU,101-Temu全托管,"Simulation Tool Kit Set for Kids,Children Role Play Game Backpack Box Toy,STEM Learning Educational Pretend Play Kit for Ages 3-8 Gift",9988-158,1776830464645,0,0.0,0.0,0,0
TEMU,101-Temu全托管,"Simulation Tool Kit Set for Kids,Children Role Play Game Backpack Box Toy,STEM Learning Educational Pretend Play Kit for Ages 3-8 Gift",9988-167,1776830464645,0,0.0,0.0,0,0
TEMU,101-Temu全托管,"Simulation Tool Kit Set for Kids,Children Role Play Game Backpack Box Toy,STEM Learning Educational Pretend Play Kit for Ages 3-8 Gift",9988-156,1776830464645,0,0.0,0.0,0,0
TEMU,101-Temu全托管,Bear Balance Math Game Funny 12 Ducks Toddler Number Learning Toys Educational Counting Toys Learning Number Counting Toy,99-19BL,1776830464645,0,0.0,0.0,0,0
TEMU,101-Temu全托管,Bear Balance Math Game Funny 12 Ducks Toddler Number Learning Toys Educational Counting Toys Learning Number Counting Toy,99-19PK,1776830464645,0,0.0,0.0,0,0
TEMU,101-Temu全托管,Bear Balance Math Game Funny 12 Ducks Toddler Number Learning Toys Educational Counting Toys Learning Number Counting Toy,99-19YE,1776830464645,0,0.0,0.0,0,0
TEMU,101-Temu全托管,NEW Party Toys Leisure Industrial Style Bar Drink Shop Handmade Wooden Ring Toss Hooks Fast-paced Interactive Game for Bars Home,ZMPH-HM-40,1776830464645,0,0.0,0.0,0,0
TEMU,101-Temu全托管,"Children's Sunflower Automatic Bubble Machine, Flower Bubble Gun with Colorful Lighting Bubble Maker Outdoor Soap Water Toys for Kids",BJC-5-YR1,1776830464645,0,0.0,0.0,0,0
TEMU,101-Temu全托管,"Children's Sunflower Automatic Bubble Machine, Flower Bubble Gun with Colorful Lighting Bubble Maker Outdoor Soap Water Toys for Kids",BJC-5A-YR3,1776830464645,0,0.0,0.0,0,0
