平台,商品名称,抓取数据日期,今日销量,近7天销量,近30天销量,平台库存,在途库存,sku,店铺
TEMU,"Mouse trap game, interactive mouse catcher game, party funny prank game,Don't be caught by its cheese trap mousetrap toy",1776657622441,0,0.0,2.0,3,0,007-266,101-Temu全托管
TEMU,"Tumbler balancing pig, novelty tightrope walking spinning top cup, cute, balancing pig toy top, suitable as a gift for a child",1776657622441,0,0.0,4.0,1,0,PHZ-pk,101-Temu全托管
TEMU,儿童厨房玩具假装模拟电动洗碗机儿童厨房洗脸盆水槽角色扮演玩具4个季节可用男孩女孩礼物,1776657622441,2,9.0,27.0,17,0,829A,101-Temu全托管
TEMU,儿童厨房玩具假装模拟电动洗碗机儿童厨房洗脸盆水槽角色扮演玩具4个季节可用男孩女孩礼物,1776657622441,0,13.0,59.0,25,0,829C,101-Temu全托管
TEMU,平衡树玩具亲子教育互动桌面派对婚礼游戏儿童桌游礼物 ，适合11个季度的有趣游戏,1776657622441,0,0.0,0.0,0,5,zcphs-opp,101-Temu全托管
TEMU,"Baby Rattles Bubble Fidget Sensory Toys Silicone Pull String Activity Toy for Toddlers, Learning & Educational Toys for Kids",1776657622441,0,0.0,0.0,5,0,HLX205A,101-Temu全托管
TEMU,"Game buzzers with lights and sound effects, party competition and quiz props, multiplayer entertainment toys, atmosphere props",1776657622442,3,34.0,58.0,20,53,ZC808H,101-Temu全托管
TEMU,"Wind-up spinning corn toy, cartoon dancing corn toy, dynamic mini educational toy, suitable for indoor and outdoor play",1776657622442,0,56.0,135.0,0,16,ym001-opp,101-Temu全托管
TEMU,balance tree toys leisure parent-child interaction game,1776657622442,0,0.0,0.0,1,0,zcphs-opp,101-Temu全托管
TEMU,"Fidget spinner toy, cube game, handheld stress-relief spinner for children, handheld cube stress-relief toy, everyday entertainment and stress relief, educational toy",1776657622442,0,0.0,0.0,6,0,ZCSBTLMF-lv,101-Temu全托管
TEMU,"Fidget spinner toy, cube game, handheld stress-relief spinner for children, handheld cube stress-relief toy, everyday entertainment and stress relief, educational toy",1776657622442,0,0.0,4.0,9,0,ZCSBTLMF-hei,101-Temu全托管
TEMU,"Intelligent board rainbow ball game, parent-child showdown, educational rainbow beads set for children",1776657622442,0,0.0,0.0,5,0,HZ-040,101-Temu全托管
TEMU,"Educational hide-and-seek toy, multifunctional sensory toy, children’s pop-up animal sorting by color, parent-child interactive toy",1776657622442,0,0.0,0.0,6,0,DMM-jt,101-Temu全托管
TEMU,Kids Toys Clockwork Beetle Toy Artificial Beetle Trickster Toy,1776657622442,0,0.0,0.0,1,0,SLJC-jin,101-Temu全托管
TEMU,Kids Toys Clockwork Beetle Toy Artificial Beetle Trickster Toy,1776657622442,0,0.0,0.0,1,0,SLJC-hon,101-Temu全托管
TEMU,Matching Number Shape Clock Cognition Learning Toys for Kids Logice Thinking Matching Game Toy Hand Eye Coordination Educational Toys,1776657622442,0,0.0,0.0,6,0,018,101-Temu全托管
TEMU,儿童刷牙玩具-模仿牙科小医生学习刷牙教具过家家玩具，10个节假日的送礼礼物,1776657622442,0,0.0,0.0,5,0,SYWJ-pk,101-Temu全托管
TEMU,儿童刷牙玩具-模仿牙科小医生学习刷牙教具过家家玩具，10个节假日的送礼礼物,1776657622442,0,0.0,0.0,5,0,SYWJ-pp,101-Temu全托管
TEMU,儿童刷牙玩具-模仿牙科小医生学习刷牙教具过家家玩具，10个节假日的送礼礼物,1776657622442,0,0.0,0.0,5,0,SYWJ-bl,101-Temu全托管
TEMU,7Pcs Kids Educational Cube Shape Matching Stacking Learning Toys Puzzles Game Colorful Blocks Sorting Game Baby Toys Gift,1776657622442,0,0.0,1.0,0,0,SGSSL-1,101-Temu全托管
TEMU,"Prank Noise Maker Sound Effects Machine, 16 Different Styles Of Prank Sound Effects, Fun Gift, Easter Family Party",1776657626610,0,47.0,97.0,0,94,zgyxj-2001-4,101-Temu全托管
