2026-01-21 14:25:07,682 | INFO | GeekBILogin | 检测到验证码类型: slider
2026-01-21 14:25:07,682 | INFO | GeekBILogin | 检测到滑块验证码
2026-01-21 14:25:07,685 | INFO | GeekBILogin | 滑块提示: 拖动下方滑块完成拼图
2026-01-21 14:25:08,248 | INFO | GeekBILogin | 滑块拖动距离: 101px
2026-01-21 17:56:04,861 | ERROR | GeekBILogin | 等待验证码失败: Page.wait_for_selector: Target page, context or browser has been closed
2026-01-21 17:56:12,625 | ERROR | GeekBILogin | 等待验证码失败: Page.wait_for_selector: Target page, context or browser has been closed
2026-01-21 17:56:20,614 | ERROR | GeekBILogin | 等待验证码失败: Page.wait_for_selector: Target page, context or browser has been closed
2026-01-21 17:56:27,630 | INFO | GeekBILogin | 检测到验证码类型: click
2026-01-21 17:56:27,637 | INFO | GeekBILogin | 检测到文字点击验证码，需要点击的文字: ['焙', '熬', '般']
2026-01-21 17:56:28,043 | INFO | GeekBILogin | 背景图片已保存: D:\sd14\Product_Selection\data\img\captcha_text_click_bg.jpg
2026-01-21 17:56:28,422 | INFO | GeekBILogin | 验证码容器: {'x': 510.5, 'y': 220.7734375, 'width': 330, 'height': 235.703125}, DPR=1
2026-01-21 17:56:28,422 | INFO | GeekBILogin | 点击第 1 个点: (659.7, 472.1)
2026-01-21 17:56:29,503 | INFO | GeekBILogin | 点击第 2 个点: (956.7, 571.0)
2026-01-21 17:56:30,471 | INFO | GeekBILogin | 点击第 3 个点: (677.1, 273.4)
2026-01-21 17:56:43,012 | INFO | GeekBILogin | 检测到验证码类型: slider
2026-01-21 17:56:43,013 | INFO | GeekBILogin | 检测到滑块验证码
2026-01-21 17:56:43,015 | INFO | GeekBILogin | 滑块提示: 拖动下方滑块完成拼图
2026-01-21 17:56:43,581 | INFO | GeekBILogin | 滑块拖动距离: 241px
2026-01-21 17:56:43,969 | ERROR | GeekBILogin | 发送到云码API失败: Mouse.move: Target page, context or browser has been closed
2026-01-21 17:56:51,737 | INFO | GeekBILogin | 检测到验证码类型: click
