2026-04-27 09:44:05,654 | INFO | Temu_New | 开始筛选条件
2026-04-27 09:44:06,100 | INFO | Temu_New | 在爬取https://www.geekbi.com/data/goods/hot-sale页面
2026-04-27 09:44:13,010 | INFO | Temu_New | 🔍 点击搜索，监听接口
2026-04-27 09:44:14,616 | INFO | Temu_New | 保存成功
2026-04-27 09:44:14,626 | INFO | Temu_New | ➡️ 点击下一页，监听接口
2026-04-27 09:44:17,931 | INFO | Temu_New | 保存成功
2026-04-27 09:44:17,939 | INFO | Temu_New | ➡️ 点击下一页，监听接口
2026-04-27 09:44:21,121 | INFO | Temu_New | 保存成功
2026-04-27 09:44:21,147 | INFO | Temu_New | ➡️ 点击下一页，监听接口
2026-04-27 09:44:24,535 | INFO | Temu_New | 保存成功
2026-04-27 09:44:24,542 | INFO | Temu_New | ➡️ 点击下一页，监听接口
2026-04-27 09:44:27,775 | INFO | Temu_New | 保存成功
2026-04-27 09:44:27,798 | INFO | Temu_New | ➡️ 点击下一页，监听接口
2026-04-27 09:44:30,862 | INFO | Temu_New | 保存成功
2026-04-27 09:44:30,880 | INFO | Temu_New | ➡️ 点击下一页，监听接口
2026-04-27 09:44:33,473 | INFO | Temu_New | 保存成功
2026-04-27 09:44:33,479 | INFO | Temu_New | ➡️ 点击下一页，监听接口
2026-04-27 09:44:38,496 | WARNING | Temu_New | ⏱️ 第1次超时
2026-04-27 09:44:38,497 | INFO | Temu_New | 🔁 重试当前页
2026-04-27 09:44:45,590 | WARNING | Temu_New | ⏱️ 第2次超时
2026-04-27 09:44:45,590 | INFO | Temu_New | 🔁 重试当前页
2026-04-27 09:44:52,701 | WARNING | Temu_New | ⏱️ 第3次超时
2026-04-27 09:44:52,701 | ERROR | Temu_New | 🚨 当前页多次失败，停止翻页
2026-04-27 09:44:54,214 | INFO | Temu_New | ---------------------------------开始去重数据-----------------------------------
2026-04-27 09:44:54,585 | INFO | Temu_New | 原始数据: 649 条
2026-04-27 09:44:54,585 | INFO | Temu_New | 筛选后(月销量≥300): 649 条
2026-04-27 09:44:54,585 | INFO | Temu_New | 去重后: 649 条
2026-04-27 09:44:54,585 | INFO | Temu_New | 处理完成: 本周新增 160 条记录
2026-04-27 09:44:54,585 | INFO | Temu_New | ---------------------------------开始构建上传的数据-----------------------------------
2026-04-27 09:44:58,707 | INFO | Temu_New | ---------------------------------开始上传数据-----------------------------------
2026-04-27 09:44:58,708 | INFO | Temu_New | 准备上传 160 条记录...
2026-04-27 09:45:04,258 | INFO | Temu_New | 
上传统计:
2026-04-27 09:45:04,258 | INFO | Temu_New | 总记录数: 160
2026-04-27 09:45:04,258 | INFO | Temu_New | 成功数量: 160
2026-04-27 09:45:04,258 | INFO | Temu_New | 失败数量: 0
2026-04-27 09:45:04,258 | INFO | Temu_New | 成功批次: 4
2026-04-27 09:45:04,259 | INFO | Temu_New | 失败批次: 0
2026-04-27 09:45:04,259 | INFO | Temu_New | 数据上传成功
