2026-04-20 10:04:17,408 | INFO | YmxNews | 程序开始启动
2026-04-20 10:04:17,409 | INFO | YmxNews | ---------------------------------开始登录获取cookies-----------------------------------
2026-04-20 10:04:25,995 | INFO | YmxNews | ---------------------------------开始爬取YMX_new数据-----------------------------------
2026-04-20 10:04:25,996 | INFO | YmxNews | 线程 YmxThread_0: 已设置为爬取美国站点
2026-04-20 10:04:25,996 | INFO | YmxNews | 线程 YmxThread_0 开始爬取美国站点，最小销量: 200
2026-04-20 10:04:25,996 | INFO | YmxNews | 线程 YmxThread_1: 已设置为爬取英国站点
2026-04-20 10:04:25,997 | INFO | YmxNews | 线程 YmxThread_0 正在爬取美国第1页的数据
2026-04-20 10:04:25,997 | INFO | YmxNews | 线程 YmxThread_2: 已设置为爬取德国站点
2026-04-20 10:04:25,997 | INFO | YmxNews | 线程 YmxThread_3: 已设置为爬取法国站点
2026-04-20 10:04:25,997 | INFO | YmxNews | 线程 YmxThread_1 开始爬取英国站点，最小销量: 200
2026-04-20 10:04:25,997 | INFO | YmxNews | 线程 YmxThread_2 开始爬取德国站点，最小销量: 100
2026-04-20 10:04:25,997 | INFO | YmxNews | 线程 YmxThread_4: 已设置为爬取西班牙站点
2026-04-20 10:04:25,997 | INFO | YmxNews | 线程 YmxThread_3 开始爬取法国站点，最小销量: 100
2026-04-20 10:04:25,997 | INFO | YmxNews | 线程 YmxThread_1 正在爬取英国第1页的数据
2026-04-20 10:04:25,997 | INFO | YmxNews | 线程 YmxThread_2 正在爬取德国第1页的数据
2026-04-20 10:04:25,998 | INFO | YmxNews | 线程 YmxThread_4 开始爬取西班牙站点，最小销量: 100
2026-04-20 10:04:25,998 | INFO | YmxNews | 线程 YmxThread_3 正在爬取法国第1页的数据
2026-04-20 10:04:25,998 | INFO | YmxNews | 线程 YmxThread_4 正在爬取西班牙第1页的数据
2026-04-20 10:04:27,011 | INFO | YmxNews | 线程 YmxThread_1 (英国): 已保存100条数据到文件
2026-04-20 10:04:27,011 | INFO | YmxNews | 线程 YmxThread_1 英国第1页获取到100条数据，累计100条
2026-04-20 10:04:27,129 | INFO | YmxNews | 线程 YmxThread_2 (德国): 已保存100条数据到文件
2026-04-20 10:04:27,129 | INFO | YmxNews | 线程 YmxThread_2 德国第1页获取到100条数据，累计100条
2026-04-20 10:04:27,184 | INFO | YmxNews | 线程 YmxThread_3 (法国): 已保存100条数据到文件
2026-04-20 10:04:27,184 | INFO | YmxNews | 线程 YmxThread_3 法国第1页获取到100条数据，累计100条
2026-04-20 10:04:27,243 | INFO | YmxNews | 线程 YmxThread_0 (美国): 已保存100条数据到文件
