2026-04-08 11:20:20,508 | INFO | auto_listing | 开始上架商品到---['8249645', '4720369', '8368031']
2026-04-08 11:20:22,286 | INFO | auto_listing | 点击了同意按钮
2026-04-08 11:20:23,709 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开
2026-04-08 11:20:23,754 | INFO | auto_listing | 新页面（采集箱）已打开
2026-04-08 11:20:26,772 | INFO | auto_listing | 采集箱新页面已自动关闭
2026-04-08 11:20:26,780 | INFO | auto_listing | ✅ 上架成功: 601099617614255
2026-04-08 11:20:28,226 | INFO | auto_listing | 同意按钮不存在或不可见，跳过点击
2026-04-08 11:20:29,635 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开
2026-04-08 11:20:29,684 | INFO | auto_listing | 新页面（采集箱）已打开
2026-04-08 11:20:32,720 | INFO | auto_listing | 采集箱新页面已自动关闭
2026-04-08 11:20:32,746 | INFO | auto_listing | ✅ 上架成功: 601099619384021
2026-04-08 11:20:34,173 | INFO | auto_listing | 同意按钮不存在或不可见，跳过点击
2026-04-08 11:20:35,086 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开
2026-04-08 11:20:35,124 | INFO | auto_listing | 新页面（采集箱）已打开
2026-04-08 11:20:38,168 | INFO | auto_listing | 采集箱新页面已自动关闭
2026-04-08 11:20:38,179 | INFO | auto_listing | ✅ 上架成功: 601099621810855
2026-04-08 11:20:39,598 | INFO | auto_listing | 同意按钮不存在或不可见，跳过点击
2026-04-08 11:20:40,503 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开
2026-04-08 11:20:40,540 | INFO | auto_listing | 新页面（采集箱）已打开
2026-04-08 11:20:43,583 | INFO | auto_listing | 采集箱新页面已自动关闭
2026-04-08 11:20:43,591 | INFO | auto_listing | ✅ 上架成功: 601099624365965
2026-04-08 11:20:45,041 | INFO | auto_listing | 同意按钮不存在或不可见，跳过点击
2026-04-08 11:20:46,478 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开
2026-04-08 11:20:46,516 | INFO | auto_listing | 新页面（采集箱）已打开
2026-04-08 11:20:49,553 | INFO | auto_listing | 采集箱新页面已自动关闭
2026-04-08 11:20:49,560 | INFO | auto_listing | ✅ 上架成功: 601099625600742
2026-04-08 11:20:50,984 | INFO | auto_listing | 同意按钮不存在或不可见，跳过点击
2026-04-08 11:20:52,417 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开
2026-04-08 11:20:52,456 | INFO | auto_listing | 新页面（采集箱）已打开
2026-04-08 11:20:55,485 | INFO | auto_listing | 采集箱新页面已自动关闭
2026-04-08 11:20:55,498 | INFO | auto_listing | ✅ 上架成功: 601099629255592
2026-04-08 11:20:57,041 | INFO | auto_listing | 同意按钮不存在或不可见，跳过点击
2026-04-08 11:20:57,935 | INFO | auto_listing | 已点击打开采集箱，等待新页面打开
2026-04-08 11:20:58,075 | INFO | auto_listing | 新页面（采集箱）已打开
2026-04-08 11:21:01,110 | INFO | auto_listing | 采集箱新页面已自动关闭
2026-04-08 11:21:01,116 | INFO | auto_listing | ✅ 上架成功: 601099629321607
2026-04-08 11:21:32,524 | ERROR | auto_listing | ❌ 上架失败: 601099629718872 - Locator.click: Timeout 30000ms exceeded.
Call log:
