2026-03-03 11:39:26,379 | INFO | financial_data | 103-Temu全托管 - 第 1 次登录尝试
2026-03-03 11:39:29,720 | INFO | financial_data | 103-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'cjlkadfgnhnogfgajjoffajniklimcmh', 'browserID': 104523239, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '57971', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托103店-PBee', 'duplicate': 2816, 'ip': '125.75.68.73', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 104523239, 'containerCode': '1053232390', 'statusCode': '0', 'err': '成功(Success)'}}
2026-03-03 11:39:29,720 | INFO | financial_data | 103-Temu全托管 - 浏览器启动成功, 调试端口: 57971
2026-03-03 11:39:31,091 | INFO | financial_data | 103-Temu全托管 - 已连接浏览器
2026-03-03 11:39:31,588 | INFO | financial_data | --------------------103-Temu全托管 ------------------------ 开始登录...
2026-03-03 11:39:36,446 | INFO | financial_data | 103-Temu全托管 - 等待 agentseller Cookie 生效
2026-03-03 11:39:40,556 | INFO | financial_data | 103-Temu全托管 - 进入财务页面
2026-03-03 11:39:46,201 | INFO | financial_data | 有数据，总共 1539 条
2026-03-03 11:39:48,307 | INFO | financial_data | 检测到任务已存在，尝试从导出历史中下载
2026-03-03 11:39:48,307 | INFO | financial_data | 103-Temu全托管 - 尝试从导出历史中下载文件
2026-03-03 11:39:48,459 | INFO | financial_data | 103-Temu全托管 - 从历史中下载: 下载账务明细(卖家中心)
2026-03-03 11:39:49,002 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\temu\103-Temu全托管_02_卖家中心.xlsx
2026-03-03 11:39:50,009 | INFO | financial_data | 103-Temu全托管 - 从历史中下载: 下载财务明细(全球)
2026-03-03 11:40:20,993 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\103-Temu全托管_02_全球.xlsx
2026-03-03 11:40:22,027 | INFO | financial_data | 103-Temu全托管 - 从历史中下载: 下载财务明细(欧区)
2026-03-03 11:41:24,455 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\103-Temu全托管_02_欧区.xlsx
2026-03-03 11:41:25,494 | INFO | financial_data | 103-Temu全托管 - 从历史中下载: 下载财务明细(美国)
2026-03-03 11:41:50,508 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\103-Temu全托管_02_美国.xlsx
2026-03-03 11:41:51,544 | INFO | financial_data | ✅ 103-Temu全托管 - 所有财务数据从历史下载完成
2026-03-03 11:41:51,545 | INFO | financial_data | 从历史记录下载完成
2026-03-03 11:41:51,545 | INFO | financial_data | 103-Temu全托管 - 登录成功（第 1 次）
2026-03-03 11:42:51,965 | INFO | financial_data | 108-Temu全托管 - 第 1 次登录尝试
2026-03-03 11:42:55,187 | INFO | financial_data | 108-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'gobiecapkllflcacpgecmdakhoffglne', 'browserID': 104562169, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '58523', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托108店-YYDeeK BO子账号', 'duplicate': 2655, 'ip': '125.75.68.73', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 104562169, 'containerCode': '1053621692', 'statusCode': '0', 'err': '成功(Success)'}}
2026-03-03 11:42:55,187 | INFO | financial_data | 108-Temu全托管 - 浏览器启动成功, 调试端口: 58523
2026-03-03 11:42:56,562 | INFO | financial_data | 108-Temu全托管 - 已连接浏览器
2026-03-03 11:42:57,067 | INFO | financial_data | --------------------108-Temu全托管 ------------------------ 开始登录...
2026-03-03 11:42:59,731 | INFO | financial_data | 108-Temu全托管 - 等待 agentseller Cookie 生效
2026-03-03 11:43:04,007 | INFO | financial_data | 108-Temu全托管 - 进入财务页面
2026-03-03 11:43:08,934 | INFO | financial_data | 有数据，总共 607 条
2026-03-03 11:43:11,029 | INFO | financial_data | 检测到任务已存在，尝试从导出历史中下载
2026-03-03 11:43:11,029 | INFO | financial_data | 108-Temu全托管 - 尝试从导出历史中下载文件
2026-03-03 11:43:12,222 | INFO | financial_data | 108-Temu全托管 - 从历史中下载: 下载财务明细(全球)
2026-03-03 11:51:08,244 | INFO | financial_data | 108-Temu全托管 - 第 1 次登录尝试
2026-03-03 11:51:12,161 | INFO | financial_data | 108-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'gobiecapkllflcacpgecmdakhoffglne', 'browserID': 104562169, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '59733', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托108店-YYDeeK BO子账号', 'duplicate': 3424, 'ip': '125.75.68.73', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 104562169, 'containerCode': '1053621692', 'statusCode': '0', 'err': '成功(Success)'}}
2026-03-03 11:51:12,162 | INFO | financial_data | 108-Temu全托管 - 浏览器启动成功, 调试端口: 59733
2026-03-03 11:51:13,522 | INFO | financial_data | 108-Temu全托管 - 已连接浏览器
2026-03-03 11:51:14,036 | INFO | financial_data | --------------------108-Temu全托管 ------------------------ 开始登录...
2026-03-03 11:51:19,168 | INFO | financial_data | 108-Temu全托管 - 等待 agentseller Cookie 生效
2026-03-03 11:51:23,617 | INFO | financial_data | 108-Temu全托管 - 进入财务页面
2026-03-03 11:51:29,270 | INFO | financial_data | 有数据，总共 607 条
2026-03-03 11:51:31,381 | INFO | financial_data | 检测到任务已存在，尝试从导出历史中下载
2026-03-03 11:51:31,381 | INFO | financial_data | 108-Temu全托管 - 尝试从导出历史中下载文件
2026-03-03 11:51:32,599 | INFO | financial_data | 108-Temu全托管 - 从历史中下载: 下载财务明细(全球)
2026-03-03 11:51:35,165 | INFO | financial_data | 确认授权并前往
2026-03-03 11:51:49,477 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\108-Temu全托管_02_全球.xlsx
2026-03-03 11:51:50,520 | INFO | financial_data | 108-Temu全托管 - 从历史中下载: 下载财务明细(欧区)
2026-03-03 11:51:52,727 | INFO | financial_data | 确认授权并前往
2026-03-03 11:52:13,645 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\108-Temu全托管_02_欧区.xlsx
2026-03-03 11:52:14,672 | INFO | financial_data | 108-Temu全托管 - 从历史中下载: 下载财务明细(美国)
2026-03-03 11:52:17,183 | INFO | financial_data | 确认授权并前往
2026-03-03 11:52:29,786 | INFO | financial_data | ✅ 文件下载完成: D:\sd14\Temu_horizon\data\financial\02月份\108-Temu全托管_02_美国.xlsx
2026-03-03 11:52:30,814 | INFO | financial_data | ✅ 108-Temu全托管 - 所有财务数据从历史下载完成
2026-03-03 11:52:30,815 | INFO | financial_data | 从历史记录下载完成
2026-03-03 11:52:30,816 | INFO | financial_data | 108-Temu全托管 - 登录成功（第 1 次）
2026-03-03 12:20:40,259 | INFO | financial_data | --------------------------正在下载2026-02的数据------------------------------
2026-03-03 12:20:40,259 | INFO | financial_data | --------------正在爬取店铺2106-Temu全托管----的数据
2026-03-03 12:20:40,259 | INFO | financial_data | 2106-Temu全托管 - 第 1 次登录尝试
2026-03-03 12:20:44,004 | INFO | financial_data | 2106-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'ibecnpjmgcbdlgojmlfebfkmlaoeojgm', 'browserID': 102858352, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_140_202512152142\\hubstudio', 'debuggingPort': '63724', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托2106店（153店改）+半托代发1', 'duplicate': 3200, 'ip': '111.172.230.181', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_140_202512152142\\webdriver.exe', 'containerId': 102858352, 'containerCode': '1036583528', 'statusCode': '0', 'err': '成功(Success)'}}
2026-03-03 12:20:44,005 | INFO | financial_data | 2106-Temu全托管 - 浏览器启动成功, 调试端口: 63724
2026-03-03 12:20:45,373 | INFO | financial_data | 2106-Temu全托管 - 已连接浏览器
2026-03-03 12:20:46,504 | INFO | financial_data | --------------------2106-Temu全托管 ------------------------ 开始登录...
2026-03-03 12:21:39,767 | INFO | financial_data | --------------------------正在下载2026-02的数据------------------------------
2026-03-03 12:21:39,767 | INFO | financial_data | --------------正在爬取店铺2106-Temu全托管----的数据
2026-03-03 12:21:39,767 | INFO | financial_data | 2106-Temu全托管 - 第 1 次登录尝试
