2026-06-18 10:46:49,877 | INFO | financial_data | --------------------------正在下载2026-05的数据------------------------------
2026-06-18 10:46:49,877 | INFO | financial_data | --------------正在爬取店铺2106-Temu全托管----的数据
2026-06-18 10:46:49,878 | INFO | financial_data | 2106-Temu全托管 - 第 1 次登录尝试
2026-06-18 10:46:55,875 | INFO | financial_data | 2106-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'ibecnpjmgcbdlgojmlfebfkmlaoeojgm', 'browserID': 102858352, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_140_202512152142\\hubstudio', 'debuggingPort': '53907', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托2106店（153店改）+半托代发1', 'duplicate': 5483, 'ip': '111.172.230.181', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_140_202512152142\\webdriver.exe', 'containerId': 102858352, 'containerCode': '1036583528', 'statusCode': '0', 'err': '成功(Success)'}}
2026-06-18 10:46:55,875 | INFO | financial_data | 2106-Temu全托管 - 浏览器启动成功, 调试端口: 53907
2026-06-18 10:46:57,570 | INFO | financial_data | 2106-Temu全托管 - 已连接浏览器
2026-06-18 10:46:58,197 | INFO | financial_data | --------------------2106-Temu全托管 ------------------------ 开始登录...
2026-06-18 10:47:07,833 | INFO | financial_data | 2106-Temu全托管 - 等待 agentseller Cookie 生效
2026-06-18 10:47:12,826 | INFO | financial_data | 2106-Temu全托管 - 进入财务页面
2026-06-18 10:47:21,894 | INFO | financial_data | 有数据，总共 571 条
2026-06-18 10:47:23,941 | INFO | financial_data | 检测到导出数据成功，准备下载报表
2026-06-18 10:47:24,774 | INFO | financial_data | 最新记录时间范围: 2026-05-01 ~ 2026-05-31
2026-06-18 10:47:24,774 | INFO | financial_data | 目标时间范围: 2026-05-01 ~ 2026-05-31
2026-06-18 10:47:24,775 | INFO | financial_data | 2106-Temu全托管 - 准备下载: 下载账务明细(卖家中心)
2026-06-18 10:47:24,775 | INFO | financial_data | ⏭️ 文件已存在，跳过下载: D:\sd14\Temu_horizon\data\financial\05月份\temu\2106-Temu全托管_05_卖家中心.xlsx
2026-06-18 10:47:25,783 | INFO | financial_data | ⏭️ 文件已存在，跳过下载: D:\sd14\Temu_horizon\data\financial\05月份\2106-Temu全托管_05_全球.xlsx
2026-06-18 10:47:25,784 | INFO | financial_data | ⏭️ 文件已存在，跳过下载: D:\sd14\Temu_horizon\data\financial\05月份\2106-Temu全托管_05_欧区.xlsx
2026-06-18 10:47:25,784 | INFO | financial_data | ⏭️ 文件已存在，跳过下载: D:\sd14\Temu_horizon\data\financial\05月份\2106-Temu全托管_05_美国.xlsx
2026-06-18 10:47:25,784 | INFO | financial_data | ✅ 2106-Temu全托管 - 所有财务数据下载完成
2026-06-18 10:47:25,784 | INFO | financial_data | 全部报表下载完成
2026-06-18 10:47:25,784 | INFO | financial_data | 2106-Temu全托管 - 登录成功（第 1 次）
2026-06-18 10:47:26,925 | INFO | financial_data | --------------正在爬取店铺2103-Temu全托管----的数据
2026-06-18 10:47:26,926 | INFO | financial_data | 2103-Temu全托管 - 第 1 次登录尝试
