2025-12-28 23:05:53,746 | INFO | financial_data_statement | 开始爬取店铺-------------虾皮全托1501店------------
2025-12-28 23:06:37,818 | ERROR | financial_data_statement | 接口数据结构异常
2025-12-28 23:06:37,818 | INFO | financial_data_statement | 店铺-虾皮全托1501店-第 1 页保存成功
2025-12-28 23:08:24,491 | INFO | financial_data_statement | 开始爬取店铺-------------虾皮全托1501店------------
2025-12-28 23:08:25,383 | ERROR | financial_data_statement | 接口数据结构异常
2025-12-28 23:08:25,384 | INFO | financial_data_statement | 店铺-虾皮全托1501店-第 1 页保存成功
2025-12-28 23:13:17,084 | INFO | financial_data_statement | 开始爬取店铺-------------虾皮全托1501店------------
2025-12-28 23:13:17,534 | INFO | financial_data_statement | 店铺-虾皮全托1501店-第 1 页保存成功
2025-12-28 23:13:17,534 | INFO | financial_data_statement | 已到最后一页
2025-12-28 23:13:17,534 | INFO | financial_data_statement | 开始爬取店铺-------------虾皮全托507-lxz------------
2025-12-28 23:13:36,347 | INFO | financial_data_statement | 开始爬取店铺-------------虾皮全托1501店------------
2025-12-28 23:13:36,623 | INFO | financial_data_statement | 店铺-虾皮全托1501店-第 1 页保存成功
2025-12-28 23:13:36,623 | INFO | financial_data_statement | 已到最后一页
2025-12-28 23:13:36,624 | INFO | financial_data_statement | 开始爬取店铺-------------虾皮全托507-lxz------------
2025-12-28 23:14:11,653 | INFO | financial_data_statement | 开始爬取店铺-------------虾皮全托1501店------------
2025-12-28 23:14:11,942 | INFO | financial_data_statement | 店铺-虾皮全托1501店-第 1 页保存成功
2025-12-28 23:14:11,942 | INFO | financial_data_statement | 已到最后一页
2025-12-28 23:14:11,943 | INFO | financial_data_statement | 开始爬取店铺-------------虾皮全托507-lxz------------
2025-12-28 23:14:55,267 | INFO | financial_data_statement | 开始爬取店铺-------------虾皮全托1501店------------
2025-12-28 23:14:55,642 | INFO | financial_data_statement | 店铺-虾皮全托1501店-第 1 页保存成功
2025-12-28 23:14:55,643 | INFO | financial_data_statement | 已到最后一页
2025-12-28 23:14:55,643 | INFO | financial_data_statement | 开始爬取店铺-------------虾皮全托507-lxz------------
