2026-03-03 13:57:33,745 | INFO | financial_process_up | 101-Temu全托管
2026-03-03 13:57:33,794 | INFO | financial_process_up | 有效子表: ['交易结算', '消费者及履约保障-售后问题', '消费者及履约保障-售后补寄', '非商责平台售后补贴调整']
2026-03-03 13:57:34,467 | INFO | financial_process_up | 101-Temu全托管
2026-03-03 13:57:34,603 | INFO | financial_process_up | 有效子表: ['消费者及履约保障-售后问题', '交易结算']
2026-03-03 13:57:36,672 | INFO | financial_process_up | 101-Temu全托管
2026-03-03 13:57:36,699 | INFO | financial_process_up | 有效子表: ['消费者及履约保障-售后问题', '交易结算']
2026-03-03 13:57:37,029 | INFO | financial_process_up | 102-Temu全托管
2026-03-03 13:57:37,054 | INFO | financial_process_up | 有效子表: ['交易结算', '消费者及履约保障-售后问题', '消费者及履约保障-售后补寄']
2026-03-03 13:57:37,296 | INFO | financial_process_up | 102-Temu全托管
2026-03-03 13:57:37,361 | INFO | financial_process_up | 有效子表: ['消费者及履约保障-售后问题', '交易结算']
2026-03-03 13:57:38,000 | INFO | financial_process_up | 102-Temu全托管
2026-03-03 13:57:38,011 | INFO | financial_process_up | 有效子表: ['消费者及履约保障-售后问题', '交易结算']
2026-03-03 13:57:38,096 | INFO | financial_process_up | 103-Temu全托管
2026-03-03 13:57:38,117 | WARNING | financial_process_up | ⚠️ Temu 结算文件发现未配置子表

📄 文件名：103-Temu全托管_02_全球.xlsx
📌 未识别子表：支出-商品事故

请确认是否需要新增处理逻辑
2026-03-03 13:57:38,565 | INFO | financial_process_up | 有效子表: ['消费者及履约保障-售后补寄', '消费者及履约保障-售后问题', '交易结算']
2026-03-03 13:57:38,712 | INFO | financial_process_up | 103-Temu全托管
2026-03-03 13:57:38,794 | INFO | financial_process_up | 有效子表: ['非商责平台售后补贴调整', '消费者及履约保障-售后问题', '交易结算']
2026-03-03 13:57:39,592 | INFO | financial_process_up | 103-Temu全托管
2026-03-03 13:57:39,599 | INFO | financial_process_up | 有效子表: ['交易结算', '消费者及履约保障-售后问题']
2026-03-03 13:57:39,642 | INFO | financial_process_up | 104-Temu全托管
2026-03-03 13:57:39,689 | INFO | financial_process_up | 有效子表: ['交易结算', '消费者及履约保障-售后问题']
2026-03-03 13:57:40,010 | INFO | financial_process_up | 104-Temu全托管
2026-03-03 13:57:40,030 | INFO | financial_process_up | 有效子表: ['消费者及履约保障-售后问题', '交易结算']
2026-03-03 13:57:40,227 | INFO | financial_process_up | 104-Temu全托管
2026-03-03 13:57:40,239 | INFO | financial_process_up | 有效子表: ['消费者及履约保障-售后问题', '交易结算']
2026-03-03 13:57:40,347 | INFO | financial_process_up | 105-Temu全托管
2026-03-03 13:57:40,384 | INFO | financial_process_up | 有效子表: ['交易结算', '消费者及履约保障-售后问题']
2026-03-03 13:57:40,841 | INFO | financial_process_up | 105-Temu全托管
2026-03-03 13:57:40,934 | INFO | financial_process_up | 有效子表: ['消费者及履约保障-售后问题', '交易结算', '消费者及履约保障-售后补寄']
2026-03-03 13:57:42,277 | INFO | financial_process_up | 105-Temu全托管
2026-03-03 13:57:42,287 | INFO | financial_process_up | 有效子表: ['消费者及履约保障-售后问题', '交易结算']
2026-03-03 13:57:42,371 | INFO | financial_process_up | 106-Temu全托管
2026-03-03 13:57:42,383 | INFO | financial_process_up | 有效子表: ['交易结算', '消费者及履约保障-售后问题', '非商责平台售后补贴调整']
2026-03-03 13:57:42,484 | INFO | financial_process_up | 106-Temu全托管
2026-03-03 13:57:42,496 | INFO | financial_process_up | 有效子表: ['消费者及履约保障-售后问题', '交易结算', '非商责平台售后补贴调整']
2026-03-03 13:57:42,610 | INFO | financial_process_up | 106-Temu全托管
2026-03-03 13:57:42,617 | INFO | financial_process_up | 有效子表: ['消费者及履约保障-售后问题', '交易结算']
2026-03-03 13:57:42,665 | INFO | financial_process_up | 108-Temu全托管
2026-03-03 13:57:42,681 | INFO | financial_process_up | 有效子表: ['交易结算', '消费者及履约保障-售后问题']
2026-03-03 13:57:42,810 | INFO | financial_process_up | 108-Temu全托管
2026-03-03 13:57:42,824 | INFO | financial_process_up | 有效子表: ['消费者及履约保障-售后问题', '交易结算']
2026-03-03 13:57:42,909 | INFO | financial_process_up | 108-Temu全托管
2026-03-03 13:57:42,914 | INFO | financial_process_up | 有效子表: ['消费者及履约保障-售后问题', '交易结算']
2026-03-03 13:57:42,932 | INFO | financial_process_up | 109-Temu全托管KA
2026-03-03 13:57:42,955 | WARNING | financial_process_up | ⚠️ Temu 结算文件发现未配置子表

📄 文件名：109-Temu全托管KA_02_全球.xlsx
📌 未识别子表：支出-商品事故

请确认是否需要新增处理逻辑
2026-03-03 13:57:43,381 | INFO | financial_process_up | 有效子表: ['交易结算', '消费者及履约保障-售后问题', '消费者及履约保障-售后补寄']
2026-03-03 13:57:43,677 | INFO | financial_process_up | 109-Temu全托管KA
2026-03-03 13:57:43,696 | INFO | financial_process_up | 有效子表: ['消费者及履约保障-售后问题', '交易结算']
2026-03-03 13:57:43,842 | INFO | financial_process_up | 109-Temu全托管KA
2026-03-03 13:57:43,855 | INFO | financial_process_up | 有效子表: ['消费者及履约保障-售后问题', '交易结算', '消费者及履约保障-售后补寄']
2026-03-03 13:57:44,001 | INFO | financial_process_up | 110-Temu全托管KA
