2026-01-16 11:59:38,599 | INFO | login | 2106-Temu全托管 - 第 1 次登录尝试
2026-01-16 11:59:42,368 | INFO | login | 2106-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'ibecnpjmgcbdlgojmlfebfkmlaoeojgm', 'browserID': 102858352, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_140_202512152142\\hubstudio', 'debuggingPort': '63673', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托2106店（153店改）+半托代发1', 'duplicate': 3348, 'ip': '111.172.230.181', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_140_202512152142\\webdriver.exe', 'containerId': 102858352, 'containerCode': '1036583528', 'statusCode': '0', 'err': '成功(Success)'}}
2026-01-16 11:59:42,369 | INFO | login | 2106-Temu全托管 - 浏览器启动成功, 调试端口: 63673
2026-01-16 11:59:43,905 | INFO | login | 2106-Temu全托管 - 已连接浏览器
2026-01-16 11:59:44,266 | INFO | login | --------------------2106-Temu全托管 ------------------------ 开始登录...
2026-01-16 11:59:49,068 | INFO | login | 2106-Temu全托管 - 等待 agentseller Cookie 生效
2026-01-16 11:59:55,604 | INFO | login | 2106-Temu全托管 - Cookie 已保存: D:\sd14\Temu_horizon\data\cookies\2106-Temu全托管_cookies.json
2026-01-16 11:59:55,604 | INFO | login | 2106-Temu全托管 - Cookie 获取完成，准备关闭浏览器
2026-01-16 11:59:55,604 | INFO | login | 2106-Temu全托管 - 登录成功（第 1 次）
2026-01-16 12:00:05,887 | INFO | login | 2105-Temu全托管 - 第 1 次登录尝试
2026-01-16 12:00:09,487 | INFO | login | 2105-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'hedbcddcbnkifhfapobljhpmnkknmeci', 'browserID': 109977447, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\hubstudio', 'debuggingPort': '64061', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托1105店', 'duplicate': 3168, 'ip': '218.78.129.86', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_131_202501091017\\webdriver.exe', 'containerId': 109977447, 'containerCode': '1107774478', 'statusCode': '0', 'err': '成功(Success)'}}
2026-01-16 12:00:09,488 | INFO | login | 2105-Temu全托管 - 浏览器启动成功, 调试端口: 64061
2026-01-16 12:00:10,853 | INFO | login | 2105-Temu全托管 - 已连接浏览器
2026-01-16 12:00:11,179 | INFO | login | --------------------2105-Temu全托管 ------------------------ 开始登录...
2026-01-16 12:00:16,095 | INFO | login | 2105-Temu全托管 - 等待 agentseller Cookie 生效
