2026-01-20 15:01:52,928 | INFO | search_factory | YiCai---第 1 次登录尝试
2026-01-20 15:01:59,600 | INFO | search_factory | ✅ Cookie & storage_state 已保存
2026-01-20 15:01:59,600 | INFO | search_factory | YiCai - 登录成功（第 1 次）
2026-01-20 15:01:59,799 | INFO | search_factory | ✅ storage_state 存在
2026-01-20 15:01:59,800 | INFO | search_factory | 🔁 第 1/3 次尝试获取 fid
2026-01-20 15:02:11,524 | INFO | search_factory | ✅ 成功获取 fid：40706287
2026-01-20 15:05:43,264 | INFO | search_factory | 
📸 处理图片：D:\sd14\Factory_sourcing\data\img\glasse.jpg
2026-01-20 15:05:46,246 | INFO | search_factory | 正在处理我们要发送的图片
2026-01-20 15:05:48,179 | INFO | search_factory | 正在给--铭壕玩具厂发送信息
2026-01-20 15:05:53,066 | INFO | search_factory | RC:ImgMsg--已发送
2026-01-20 15:05:55,720 | INFO | search_factory | RC:TxtMsg--已发送
2026-01-20 15:05:55,720 | INFO | search_factory | 正在给--澄海仁盛玩具发送信息
2026-01-20 15:06:00,455 | INFO | search_factory | RC:ImgMsg--已发送
2026-01-20 15:06:03,132 | INFO | search_factory | RC:TxtMsg--已发送
2026-01-20 15:06:03,132 | INFO | search_factory | 正在给--仁盛玩具厂发送信息
2026-01-20 15:06:08,100 | INFO | search_factory | RC:ImgMsg--已发送
2026-01-20 15:06:10,690 | INFO | search_factory | RC:TxtMsg--已发送
2026-01-20 15:06:12,090 | INFO | search_factory | YiCai---第 1 次登录尝试
2026-01-20 15:06:18,264 | INFO | search_factory | ✅ Cookie & storage_state 已保存
2026-01-20 15:06:18,265 | INFO | search_factory | YiCai - 登录成功（第 1 次）
2026-01-20 15:06:18,485 | INFO | search_factory | ✅ storage_state 存在
2026-01-20 15:06:18,485 | INFO | search_factory | 🔁 第 1/3 次尝试获取 fid
2026-01-20 15:06:27,674 | INFO | search_factory | ✅ 成功获取 fid：40706308
2026-01-20 15:06:29,697 | INFO | search_factory | 正在处理我们要发送的图片
2026-01-20 15:06:45,373 | INFO | search_factory | ✅ 宜采抓取完成：10 条
2026-01-20 15:06:46,990 | INFO | search_factory | ✅ 浏览器初始化成功
2026-01-20 15:07:09,234 | INFO | search_factory | storage_state 已保存到 D:\sd14\Factory_sourcing\data\cookies\xiaoniaoyun_storage.json
2026-01-20 15:07:09,234 | INFO | search_factory | ✅ 登录成功并保存 storage_state
2026-01-20 15:07:12,046 | INFO | search_factory | ✅ 图片 D:\sd14\Factory_sourcing\data\img\glasse.jpg 上传完成
2026-01-20 15:07:14,803 | INFO | search_factory | 正在处理我们要发送的图片
2026-01-20 15:07:16,772 | INFO | search_factory | ✅ 搜索接口返回 10 条结果
2026-01-20 15:07:16,772 | INFO | search_factory | ✅ 图片 D:\sd14\Factory_sourcing\data\img\glasse.jpg 搜索完成，找到 10 条结果
2026-01-20 15:07:16,772 | INFO | search_factory | 📨 给厂家发送消息：东豹
2026-01-20 15:07:23,301 | INFO | search_factory | ✅ 商品 2925593 已成功发送消息
2026-01-20 15:07:23,368 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-20 15:07:23,466 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-20 15:07:23,466 | INFO | search_factory | 📨 给厂家发送消息：仁盛
2026-01-20 15:07:28,823 | INFO | search_factory | ✅ 商品 5769676 已成功发送消息
2026-01-20 15:07:28,867 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-20 15:07:28,932 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-20 15:07:28,932 | INFO | search_factory | ⏭ 已发送过，跳过厂家：仁盛
2026-01-20 15:07:28,932 | INFO | search_factory | 📨 给厂家发送消息：仁盛玩具厂
2026-01-20 15:07:34,359 | INFO | search_factory | ✅ 商品 5907603 已成功发送消息
2026-01-20 15:07:34,414 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-20 15:07:34,491 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-20 15:07:34,491 | INFO | search_factory | ⏭ 已发送过，跳过厂家：仁盛玩具厂
2026-01-20 15:07:34,491 | INFO | search_factory | 📨 给厂家发送消息：庄臣玩具厂
2026-01-20 15:07:39,849 | INFO | search_factory | ✅ 商品 4814740 已成功发送消息
2026-01-20 15:07:39,903 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-20 15:07:40,061 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-20 15:07:40,061 | INFO | search_factory | ⏭ 已发送过，跳过厂家：庄臣玩具厂
2026-01-20 15:07:40,062 | INFO | search_factory | 📨 给厂家发送消息：隆佳
2026-01-20 15:07:45,438 | INFO | search_factory | ✅ 商品 4462888 已成功发送消息
2026-01-20 15:07:45,498 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-20 15:07:45,568 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-20 15:07:45,568 | INFO | search_factory | 📨 给厂家发送消息：兴淦玩具
2026-01-20 15:07:50,885 | INFO | search_factory | ✅ 商品 2865713 已成功发送消息
2026-01-20 15:07:50,935 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-20 15:07:51,026 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-20 15:07:51,026 | INFO | search_factory | 📨 给厂家发送消息：小许家科技有限公司
2026-01-20 15:07:56,413 | INFO | search_factory | ✅ 商品 2999406 已成功发送消息
2026-01-20 15:07:56,473 | INFO | search_factory | ✅ 第一个聊天框已关闭
2026-01-20 15:07:56,531 | INFO | search_factory | ✅ 第二个聊天框已关闭
2026-01-20 15:07:57,307 | INFO | search_factory | 浏览器已关闭
2026-01-20 15:25:16,139 | INFO | search_factory | 
📸 处理图片：D:\sd14\Factory_sourcing\data\img\people.jpg
2026-01-20 15:25:16,140 | INFO | search_factory | YiCai---第 1 次登录尝试
2026-01-20 15:25:22,209 | INFO | search_factory | ✅ Cookie & storage_state 已保存
2026-01-20 15:25:22,210 | INFO | search_factory | YiCai - 登录成功（第 1 次）
2026-01-20 15:25:22,450 | INFO | search_factory | ✅ storage_state 存在
2026-01-20 15:25:22,451 | INFO | search_factory | 🔁 第 1/3 次尝试获取 fid
2026-01-20 15:25:31,215 | INFO | search_factory | ✅ 成功获取 fid：40706542
2026-01-20 15:25:33,158 | INFO | search_factory | 正在处理我们要发送的图片
2026-01-20 15:25:48,808 | INFO | search_factory | ✅ 宜采抓取完成：10 条
2026-01-20 15:25:50,359 | INFO | search_factory | ✅ 浏览器初始化成功
2026-01-20 15:26:07,812 | INFO | search_factory | storage_state 已保存到 D:\sd14\Factory_sourcing\data\cookies\xiaoniaoyun_storage.json
2026-01-20 15:26:07,812 | INFO | search_factory | ✅ 登录成功并保存 storage_state
2026-01-20 15:26:10,195 | INFO | search_factory | ✅ 图片 D:\sd14\Factory_sourcing\data\img\people.jpg 上传完成
2026-01-20 15:26:12,845 | INFO | search_factory | 正在处理我们要发送的图片
