2025-12-26 18:05:01,566 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托1501店------------------
2025-12-26 18:05:01,566 | INFO | shopee_sale_data | [虾皮全托1501店] 正在爬取第 1 页
2025-12-26 18:05:02,743 | INFO | shopee_sale_data | 解析完成，共找到 14 条有效数据
2025-12-26 18:05:02,748 | INFO | shopee_sale_data | 已保存到文件: D:\sd14\Shopee\data\sale\shopee_sale_20251226.csv
2025-12-26 18:05:03,753 | INFO | shopee_sale_data | [虾皮全托1501店] 正在爬取第 2 页
2025-12-26 18:05:04,221 | INFO | shopee_sale_data | [虾皮全托1501店] 第 2 页无数据，结束爬取
2025-12-26 18:05:04,223 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托507-lxz------------------
2025-12-26 18:05:04,224 | INFO | shopee_sale_data | [虾皮全托507-lxz] 正在爬取第 1 页
2025-12-26 18:05:04,677 | INFO | shopee_sale_data | [虾皮全托507-lxz] 第 1 页无数据，结束爬取
2025-12-26 18:05:04,678 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托506-kedi------------------
2025-12-26 18:05:04,678 | INFO | shopee_sale_data | [虾皮全托506-kedi] 正在爬取第 1 页
2025-12-26 18:05:05,395 | INFO | shopee_sale_data | 解析完成，共找到 16 条有效数据
2025-12-26 18:05:05,397 | INFO | shopee_sale_data | 已保存到文件: D:\sd14\Shopee\data\sale\shopee_sale_20251226.csv
2025-12-26 18:05:06,403 | INFO | shopee_sale_data | [虾皮全托506-kedi] 正在爬取第 2 页
2025-12-26 18:05:06,844 | INFO | shopee_sale_data | [虾皮全托506-kedi] 第 2 页无数据，结束爬取
2025-12-26 18:05:06,845 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托505-qipei------------------
2025-12-26 18:05:06,845 | INFO | shopee_sale_data | [虾皮全托505-qipei] 正在爬取第 1 页
2025-12-26 18:05:08,070 | INFO | shopee_sale_data | 解析完成，共找到 23 条有效数据
2025-12-26 18:05:08,070 | INFO | shopee_sale_data | 已保存到文件: D:\sd14\Shopee\data\sale\shopee_sale_20251226.csv
2025-12-26 18:05:09,082 | INFO | shopee_sale_data | [虾皮全托505-qipei] 正在爬取第 2 页
2025-12-26 18:05:09,545 | INFO | shopee_sale_data | [虾皮全托505-qipei] 第 2 页无数据，结束爬取
2025-12-26 18:05:09,545 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托504-huanchuang------------------
2025-12-26 18:05:09,545 | INFO | shopee_sale_data | [虾皮全托504-huanchuang] 正在爬取第 1 页
2025-12-26 18:05:09,964 | INFO | shopee_sale_data | [虾皮全托504-huanchuang] 第 1 页无数据，结束爬取
2025-12-26 18:05:09,965 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托503-juyule------------------
2025-12-26 18:05:09,965 | INFO | shopee_sale_data | [虾皮全托503-juyule] 正在爬取第 1 页
2025-12-26 18:05:12,320 | INFO | shopee_sale_data | 解析完成，共找到 50 条有效数据
2025-12-26 18:05:12,321 | INFO | shopee_sale_data | 已保存到文件: D:\sd14\Shopee\data\sale\shopee_sale_20251226.csv
2025-12-26 18:05:13,325 | INFO | shopee_sale_data | [虾皮全托503-juyule] 正在爬取第 2 页
2025-12-26 18:05:13,784 | INFO | shopee_sale_data | [虾皮全托503-juyule] 第 2 页无数据，结束爬取
2025-12-26 18:05:13,785 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托502-xiyue------------------
2025-12-26 18:05:13,785 | INFO | shopee_sale_data | [虾皮全托502-xiyue] 正在爬取第 1 页
2025-12-26 18:05:16,175 | INFO | shopee_sale_data | 解析完成，共找到 43 条有效数据
2025-12-26 18:05:16,177 | INFO | shopee_sale_data | 已保存到文件: D:\sd14\Shopee\data\sale\shopee_sale_20251226.csv
2025-12-26 18:05:17,186 | INFO | shopee_sale_data | [虾皮全托502-xiyue] 正在爬取第 2 页
2025-12-26 18:05:18,931 | INFO | shopee_sale_data | 解析完成，共找到 59 条有效数据
2025-12-26 18:05:18,933 | INFO | shopee_sale_data | 已保存到文件: D:\sd14\Shopee\data\sale\shopee_sale_20251226.csv
2025-12-26 18:05:19,949 | INFO | shopee_sale_data | [虾皮全托502-xiyue] 正在爬取第 3 页
2025-12-26 18:05:20,374 | INFO | shopee_sale_data | [虾皮全托502-xiyue] 第 3 页无数据，结束爬取
2025-12-26 18:05:20,375 | INFO | shopee_sale_data | 开始爬取店铺------------------虾皮全托501-quzhi------------------
2025-12-26 18:05:20,375 | INFO | shopee_sale_data | [虾皮全托501-quzhi] 正在爬取第 1 页
2025-12-26 18:05:22,722 | INFO | shopee_sale_data | 解析完成，共找到 45 条有效数据
2025-12-26 18:05:22,723 | INFO | shopee_sale_data | 已保存到文件: D:\sd14\Shopee\data\sale\shopee_sale_20251226.csv
2025-12-26 18:05:23,725 | INFO | shopee_sale_data | [虾皮全托501-quzhi] 正在爬取第 2 页
