2026-01-22 15:40:45,950 | ERROR | temu_parcel_tracer | 警告: 响应中无'result'字段。完整响应: {'success': False, 'errorCode': 4000004, 'errorMsg': '访问人数过多，请稍后重试'}
2026-01-22 15:42:46,069 | INFO | temu_parcel_tracer | {'店铺': '103-Temu全托管', '备货单号': 'WB2601144777535', '包裹状态': '待快递揽收', '发货方式': '在线物流下单', '物流单号': '顺丰TMS专属服务隔日达,2601220032965', '预约取货时间': 1769076000000, '物流轨迹': ['2026-01-22 10:10:24 已下单']}
2026-01-22 15:42:49,436 | INFO | temu_parcel_tracer | {'店铺': '103-Temu全托管', '备货单号': 'WB2601144777543', '包裹状态': '待快递揽收', '发货方式': '在线物流下单', '物流单号': '顺丰TMS专属服务隔日达,2601220032823', '预约取货时间': 1769076000000, '物流轨迹': ['2026-01-22 10:10:06 已下单']}
2026-01-22 15:42:51,936 | ERROR | temu_parcel_tracer | 警告: 响应中无'result'字段。完整响应: {'success': False, 'errorCode': 4000004, 'errorMsg': '访问人数过多，请稍后重试'}
2026-01-22 15:42:51,936 | INFO | temu_parcel_tracer | {'店铺': '103-Temu全托管', '备货单号': 'WB2601208061326', '包裹状态': '待快递揽收', '发货方式': '在线物流下单', '物流单号': '顺丰TMS专属服务隔日达,2601210153162', '预约取货时间': 1769076000000, '物流轨迹': []}
2026-01-22 15:42:54,752 | INFO | temu_parcel_tracer | {'店铺': '103-Temu全托管', '备货单号': 'WB2601135198028', '包裹状态': '待快递揽收', '发货方式': '在线物流下单', '物流单号': '邮政特快专递,1361850099226', '预约取货时间': 1769076000000, '物流轨迹': []}
2026-01-22 15:42:57,070 | INFO | temu_parcel_tracer | {'店铺': '103-Temu全托管', '备货单号': 'WB2601213519330', '包裹状态': '物流运输中', '发货方式': '在线物流下单', '物流单号': '顺丰TMS专属服务隔日达,2601210031704', '预约取货时间': 1768989600000, '物流轨迹': ['2026-01-21 10:05:16 已下单', '2026-01-21 20:23:10 顺丰已收取快件', '2026-01-22 08:48:00 货物已发车']}
2026-01-22 15:42:59,237 | INFO | temu_parcel_tracer | {'店铺': '103-Temu全托管', '备货单号': 'WB2601212779638', '包裹状态': '物流运输中', '发货方式': '在线物流下单', '物流单号': '顺丰TMS次日达,SF5101920835043', '预约取货时间': 1768989300000, '物流轨迹': ['2026-01-21 19:53:51 顺丰速运 已收取快件，您的期待，我们定竭诚守护，不负所托。', '2026-01-21 21:59:19 快件在【汕头澄海冠山店】完成分拣，准备发往 【揭阳空港转运中心】', '2026-01-21 22:16:21 快件离开 【汕头澄海冠山店】，已在发往  【揭阳空港转运中心】 的路上', '2026-01-21 23:31:23 快件到达 【揭阳空港转运中心】', '2026-01-21 23:42:26 快件在【揭阳空港转运中心】完成分拣，准备发往 【佛山官窑转运中心】', '2026-01-22 01:33:43 快件离开 【揭阳空港转运中心】，已在发往  【佛山官窑转运中心】 的路上', '2026-01-22 07:43:12 快件到达 【佛山官窑转运中心】，该场地已实现光伏供电，低碳绿色物流、共建零碳未来！', '2026-01-22 07:48:28 快件在【佛山官窑转运中心】完成分拣，准备发往 【佛山南海拼多多直邮项目店】', '2026-01-22 14:42:02 快件离开 【佛山官窑转运中心】，已在发往  【佛山南海拼多多直邮项目店】 的路上']}
2026-01-22 15:43:01,870 | INFO | temu_parcel_tracer | {'店铺': '103-Temu全托管', '备货单号': 'WB2601212779445', '包裹状态': '物流运输中', '发货方式': '在线物流下单', '物流单号': '顺丰TMS次日达,SF5101920477430', '预约取货时间': 1768989300000, '物流轨迹': ['2026-01-21 19:53:07 顺丰速运 已收取快件，您的期待，我们定竭诚守护，不负所托。', '2026-01-21 22:01:20 快件在【汕头澄海冠山店】完成分拣，准备发往 【揭阳空港转运中心】', '2026-01-21 22:16:21 快件离开 【汕头澄海冠山店】，已在发往  【揭阳空港转运中心】 的路上', '2026-01-21 23:29:12 快件到达 【揭阳空港转运中心】', '2026-01-21 23:42:26 快件在【揭阳空港转运中心】完成分拣，准备发往 【佛山官窑转运中心】', '2026-01-22 01:33:43 快件离开 【揭阳空港转运中心】，已在发往  【佛山官窑转运中心】 的路上', '2026-01-22 07:43:31 快件到达 【佛山官窑转运中心】，该场地已实现光伏供电，低碳绿色物流、共建零碳未来！', '2026-01-22 08:38:47 快件在【佛山官窑转运中心】完成分拣，准备发往 【肇庆拼多拼多多配送项目店】', '2026-01-22 14:41:03 快件离开 【佛山官窑转运中心】，已在发往  【肇庆拼多拼多多配送项目店】 的路上']}
2026-01-22 15:43:04,892 | INFO | temu_parcel_tracer | {'店铺': '103-Temu全托管', '备货单号': 'WB2601208061312', '包裹状态': '待快递揽收', '发货方式': '在线物流下单', '物流单号': '顺丰TMS专属服务隔日达,2601210020870', '预约取货时间': 1768989600000, '物流轨迹': []}
2026-01-22 15:43:07,552 | INFO | temu_parcel_tracer | {'店铺': '103-Temu全托管', '备货单号': 'WB2601167050981', '包裹状态': '物流运输中', '发货方式': '在线物流下单', '物流单号': '顺丰TMS专属服务隔日达,2601200171820', '预约取货时间': 1768989600000, '物流轨迹': ['2026-01-20 17:49:36 已下单', '2026-01-21 20:22:34 顺丰已收取快件', '2026-01-22 08:48:00 货物已发车']}
