2026-01-23 09:03:26,215 | ERROR | temu_parcel_tracer | [103-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/mms/venom/api/supplier/purchase/manager/querySubOrderList
2026-01-23 09:03:55,151 | ERROR | temu_parcel_tracer | [103-Temu全托管] 请求失败（第 2 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/mms/venom/api/supplier/purchase/manager/querySubOrderList
2026-01-23 09:04:15,041 | ERROR | temu_parcel_tracer | [103-Temu全托管] 请求失败（第 3 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/mms/venom/api/supplier/purchase/manager/querySubOrderList
2026-01-23 09:04:28,486 | INFO | temu_parcel_tracer | {'店铺': '103-Temu全托管', '备货单号': 'WB2601204035483', '包裹状态': '待快递揽收', '发货方式': '在线物流下单', '物流单号': '顺丰TMS专属服务隔日达,2601220172177', '预约取货时间': 1769162400000, '物流轨迹': ['2026-01-22 18:14:36 已下单']}
2026-01-23 09:04:29,133 | INFO | temu_parcel_tracer | {'店铺': '103-Temu全托管', '备货单号': 'WB2601204035478', '包裹状态': '待快递揽收', '发货方式': '在线物流下单', '物流单号': '顺丰TMS专属服务隔日达,2601220172094', '预约取货时间': 1769162400000, '物流轨迹': ['2026-01-22 18:14:17 已下单']}
2026-01-23 09:04:30,263 | INFO | temu_parcel_tracer | {'店铺': '103-Temu全托管', '备货单号': 'WB2601204035481', '包裹状态': '待快递揽收', '发货方式': '在线物流下单', '物流单号': '加运美,JYM180008801458', '预约取货时间': 1769162400000, '物流轨迹': []}
2026-01-23 09:04:30,911 | INFO | temu_parcel_tracer | {'店铺': '103-Temu全托管', '备货单号': 'WB2601223518518', '包裹状态': '待快递揽收', '发货方式': '在线物流下单', '物流单号': '顺丰TMS专属服务隔日达,2601220160493', '预约取货时间': 1769162400000, '物流轨迹': ['2026-01-22 17:37:23 已下单']}
2026-01-23 09:04:31,559 | INFO | temu_parcel_tracer | {'店铺': '103-Temu全托管', '备货单号': 'WB2601144777535', '包裹状态': '物流运输中', '发货方式': '在线物流下单', '物流单号': '顺丰TMS专属服务隔日达,2601220032965', '预约取货时间': 1769076000000, '物流轨迹': ['2026-01-22 10:10:24 已下单', '2026-01-22 21:00:32 顺丰已收取快件']}
2026-01-23 09:04:32,200 | INFO | temu_parcel_tracer | {'店铺': '103-Temu全托管', '备货单号': 'WB2601144777543', '包裹状态': '物流运输中', '发货方式': '在线物流下单', '物流单号': '顺丰TMS专属服务隔日达,2601220032823', '预约取货时间': 1769076000000, '物流轨迹': ['2026-01-22 10:10:06 已下单', '2026-01-22 20:59:01 顺丰已收取快件']}
2026-01-23 09:04:32,844 | INFO | temu_parcel_tracer | {'店铺': '103-Temu全托管', '备货单号': 'WB2601208061326', '包裹状态': '物流运输中', '发货方式': '在线物流下单', '物流单号': '顺丰TMS专属服务隔日达,2601210153162', '预约取货时间': 1769076000000, '物流轨迹': ['2026-01-21 17:12:51 已下单', '2026-01-22 20:45:44 顺丰已收取快件']}
2026-01-23 09:15:37,280 | ERROR | temu_parcel_tracer | [103-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://seller.kuajingmaihuo.com/bgSongbird-api/supplier/deliverGoods/management/pageQueryDeliveryBatch
2026-01-23 09:25:18,224 | ERROR | temu_parcel_tracer | [103-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://seller.kuajingmaihuo.com/bgSongbird-api/supplier/deliverGoods/management/pageQueryDeliveryBatch
2026-01-23 09:25:39,434 | INFO | temu_parcel_tracer | {'店铺': '103-Temu全托管', '备货单号': 'WB2601204035483', '包裹状态': '待快递揽收', '发货方式': '在线物流下单', '物流单号': '顺丰TMS专属服务隔日达,2601220172177', '预约取货时间': 1769162400000, '物流轨迹': ['2026-01-22 18:14:36 已下单']}
2026-01-23 09:25:40,083 | INFO | temu_parcel_tracer | {'店铺': '103-Temu全托管', '备货单号': 'WB2601204035478', '包裹状态': '待快递揽收', '发货方式': '在线物流下单', '物流单号': '顺丰TMS专属服务隔日达,2601220172094', '预约取货时间': 1769162400000, '物流轨迹': ['2026-01-22 18:14:17 已下单']}
2026-01-23 09:25:40,820 | INFO | temu_parcel_tracer | {'店铺': '103-Temu全托管', '备货单号': 'WB2601204035481', '包裹状态': '待快递揽收', '发货方式': '在线物流下单', '物流单号': '加运美,JYM180008801458', '预约取货时间': 1769162400000, '物流轨迹': []}
2026-01-23 09:25:41,459 | INFO | temu_parcel_tracer | {'店铺': '103-Temu全托管', '备货单号': 'WB2601223518518', '包裹状态': '待快递揽收', '发货方式': '在线物流下单', '物流单号': '顺丰TMS专属服务隔日达,2601220160493', '预约取货时间': 1769162400000, '物流轨迹': ['2026-01-22 17:37:23 已下单']}
2026-01-23 09:25:42,099 | INFO | temu_parcel_tracer | {'店铺': '103-Temu全托管', '备货单号': 'WB2601144777535', '包裹状态': '物流运输中', '发货方式': '在线物流下单', '物流单号': '顺丰TMS专属服务隔日达,2601220032965', '预约取货时间': 1769076000000, '物流轨迹': ['2026-01-22 10:10:24 已下单', '2026-01-22 21:00:32 顺丰已收取快件', '2026-01-23 08:39:00 货物已发车']}
2026-01-23 09:25:42,760 | INFO | temu_parcel_tracer | {'店铺': '103-Temu全托管', '备货单号': 'WB2601144777543', '包裹状态': '物流运输中', '发货方式': '在线物流下单', '物流单号': '顺丰TMS专属服务隔日达,2601220032823', '预约取货时间': 1769076000000, '物流轨迹': ['2026-01-22 10:10:06 已下单', '2026-01-22 20:59:01 顺丰已收取快件', '2026-01-23 08:39:00 货物已发车']}
2026-01-23 10:12:16,033 | INFO | temu_parcel_tracer | 正在获取第1页数据...
2026-01-23 10:12:49,964 | INFO | temu_parcel_tracer | 第 1 页获取到 46 条数据
2026-01-23 10:12:49,965 | INFO | temu_parcel_tracer | 已获取最后一页，停止获取
2026-01-23 10:27:35,861 | INFO | temu_parcel_tracer | 正在获取第 1 页数据...
