2026-04-17 14:03:53,631 | INFO | temu_parcel_tracer | 🚀 开始第一阶段：爬取所有店铺数据、保存到数据库并将数据上传到钉钉表中
2026-04-17 14:03:53,631 | INFO | temu_parcel_tracer | ----------------开始爬取店铺2106-Temu全托管--仓库待收货的数据---------------------
2026-04-17 14:03:53,762 | INFO | temu_parcel_tracer | 正在获取第1页数据...
2026-04-17 14:03:54,131 | ERROR | temu_parcel_tracer | [2106-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://seller.kuajingmaihuo.com/bgSongbird-api/supplier/deliverGoods/management/pageQueryDeliveryBatch
2026-04-17 14:03:54,131 | INFO | temu_parcel_tracer | 2106-Temu全托管 - 第 1 次登录尝试
2026-04-17 14:03:58,731 | INFO | temu_parcel_tracer | 2106-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'ibecnpjmgcbdlgojmlfebfkmlaoeojgm', 'browserID': 102858352, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_140_202512152142\\hubstudio', 'debuggingPort': '56018', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托2106店（153店改）+半托代发1', 'duplicate': 4147, 'ip': '111.172.230.181', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_140_202512152142\\webdriver.exe', 'containerId': 102858352, 'containerCode': '1036583528', 'statusCode': '0', 'err': '成功(Success)'}}
2026-04-17 14:03:58,732 | INFO | temu_parcel_tracer | 2106-Temu全托管 - 浏览器启动成功, 调试端口: 56018
2026-04-17 14:04:00,108 | INFO | temu_parcel_tracer | 2106-Temu全托管 - 已连接浏览器
2026-04-17 14:04:01,988 | INFO | temu_parcel_tracer | --------------------2106-Temu全托管 ------------------------ 开始登录...
2026-04-17 14:04:08,144 | ERROR | temu_parcel_tracer | 2106-Temu全托管 - 未出现取消按钮，跳过
2026-04-17 14:04:09,153 | ERROR | temu_parcel_tracer | 2106-Temu全托管 - 未出现进入按钮，跳过
2026-04-17 14:04:09,154 | INFO | temu_parcel_tracer | 2106-Temu全托管 - 登录成功
2026-04-17 14:04:09,154 | INFO | temu_parcel_tracer | 2106-Temu全托管 - 等待 agentseller Cookie 生效
2026-04-17 14:04:20,528 | INFO | temu_parcel_tracer | 2106-Temu全托管 - Cookie 已保存: D:\sd14\Temu_horizon\data\cookies\2106-Temu全托管_kuajingmaihuo_cookies.json
2026-04-17 14:04:20,528 | INFO | temu_parcel_tracer | 2106-Temu全托管 - Cookie 获取完成，准备关闭浏览器
2026-04-17 14:04:20,528 | INFO | temu_parcel_tracer | 2106-Temu全托管 - 登录成功（第 1 次）
2026-04-17 14:04:20,549 | INFO | temu_parcel_tracer | 2106-Temu全托管 - 已关闭Playwright连接
2026-04-17 14:04:21,810 | INFO | temu_parcel_tracer | 2106-Temu全托管 - 已发送停止浏览器请求
2026-04-17 14:04:32,693 | INFO | temu_parcel_tracer | 第 1 页获取到 11 条数据
2026-04-17 14:04:32,693 | INFO | temu_parcel_tracer | 已获取最后一页，停止获取
2026-04-17 14:04:32,693 | INFO | temu_parcel_tracer | ----------------开始上传(temu-发货揽收轨迹及丢件)的数据---------------------
2026-04-17 14:04:32,695 | INFO | temu_parcel_tracer | 准备上传 9 条记录...
2026-04-17 14:04:33,802 | INFO | temu_parcel_tracer | 
上传统计:
2026-04-17 14:04:33,802 | INFO | temu_parcel_tracer | 总记录数: 9
2026-04-17 14:04:33,802 | INFO | temu_parcel_tracer | 成功数量: 9
2026-04-17 14:04:33,802 | INFO | temu_parcel_tracer | 失败数量: 0
2026-04-17 14:04:33,802 | INFO | temu_parcel_tracer | 成功批次: 1
2026-04-17 14:04:33,802 | INFO | temu_parcel_tracer | 失败批次: 0
2026-04-17 14:04:33,802 | INFO | temu_parcel_tracer | 2106-Temu全托管 发货揽收轨迹数据爬取完成，共9条记录
2026-04-17 14:04:33,802 | INFO | temu_parcel_tracer | ----------------开始爬取店铺2106-Temu全托管--入库的数据---------------------
2026-04-17 14:04:33,948 | INFO | temu_parcel_tracer | 正在获取第 1 页数据...
2026-04-17 14:04:37,690 | ERROR | temu_parcel_tracer | [2106-Temu全托管] 请求失败（第 1 次）: 403 Client Error: Forbidden for url: https://agentseller.temu.com/mms/venom/api/supplier/purchase/manager/querySubOrderList
2026-04-17 14:04:37,690 | INFO | temu_parcel_tracer | 2106-Temu全托管 - 第 1 次登录尝试
2026-04-17 14:04:41,052 | INFO | temu_parcel_tracer | 2106-Temu全托管 - start_api 返回: {'code': 0, 'msg': 'Success', 'data': {'action': 'startBrowserByCode', 'backgroundPluginId': 'ibecnpjmgcbdlgojmlfebfkmlaoeojgm', 'browserID': 102858352, 'browserPath': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_140_202512152142\\hubstudio', 'debuggingPort': '56363', 'downloadPath': 'C:\\Users\\Administrator\\Desktop\\Hubstudio\\temu全托2106店（153店改）+半托代发1', 'duplicate': 2898, 'ip': '111.172.230.181', 'isDynamicIp': False, 'launcherPage': 'about:blank', 'proxyType': 'socks5', 'runMode': 2, 'webdriver': 'C:\\Users\\Administrator\\AppData\\Local\\env-kit\\Core\\chrome_64_140_202512152142\\webdriver.exe', 'containerId': 102858352, 'containerCode': '1036583528', 'statusCode': '0', 'err': '成功(Success)'}}
2026-04-17 14:04:41,052 | INFO | temu_parcel_tracer | 2106-Temu全托管 - 浏览器启动成功, 调试端口: 56363
2026-04-17 14:04:42,411 | INFO | temu_parcel_tracer | 2106-Temu全托管 - 已连接浏览器
2026-04-17 14:04:42,819 | INFO | temu_parcel_tracer | --------------------2106-Temu全托管 ------------------------ 开始登录...
2026-04-17 14:04:48,233 | ERROR | temu_parcel_tracer | 2106-Temu全托管 - 未出现取消按钮，跳过
2026-04-17 14:04:48,275 | INFO | temu_parcel_tracer | 2106-Temu全托管 - 已点击进入
2026-04-17 14:04:48,275 | INFO | temu_parcel_tracer | 2106-Temu全托管 - 登录成功
2026-04-17 14:04:48,275 | INFO | temu_parcel_tracer | 2106-Temu全托管 - 等待 agentseller Cookie 生效
2026-04-17 14:04:55,738 | INFO | temu_parcel_tracer | 2106-Temu全托管 - Cookie 已保存: D:\sd14\Temu_horizon\data\cookies\2106-Temu全托管_cookies.json
2026-04-17 14:04:55,738 | INFO | temu_parcel_tracer | 2106-Temu全托管 - Cookie 获取完成，准备关闭浏览器
2026-04-17 14:04:55,738 | INFO | temu_parcel_tracer | 2106-Temu全托管 - 登录成功（第 1 次）
2026-04-17 14:04:55,756 | INFO | temu_parcel_tracer | 2106-Temu全托管 - 已关闭Playwright连接
2026-04-17 14:04:56,939 | INFO | temu_parcel_tracer | 2106-Temu全托管 - 已发送停止浏览器请求
2026-04-17 14:05:03,016 | WARNING | temu_parcel_tracer | 🚨 入库异常 | 店铺=2106-Temu全托管 | 备货单=WB260408613261 | 送货=50 | 入库=49
2026-04-17 14:05:03,016 | WARNING | temu_parcel_tracer | 🚨 入库异常 | 店铺=2106-Temu全托管 | 备货单=WB2604123695106 | 送货=121 | 入库=120
2026-04-17 14:05:03,016 | INFO | temu_parcel_tracer | ✓ 第 1 页获取到异常数据 5 条数据
2026-04-17 14:05:03,017 | INFO | temu_parcel_tracer | 当前页数据并且数据为当月产生的数据不足100条，可能是最后一页，停止获取
2026-04-17 14:05:03,017 | INFO | temu_parcel_tracer | ----------------开始上传(temu-入库情况)的数据---------------------
2026-04-17 14:05:03,019 | INFO | temu_parcel_tracer | 准备上传 2 条记录...
2026-04-17 14:05:04,289 | INFO | temu_parcel_tracer | 
上传统计:
2026-04-17 14:05:04,290 | INFO | temu_parcel_tracer | 总记录数: 2
2026-04-17 14:05:04,290 | INFO | temu_parcel_tracer | 成功数量: 2
2026-04-17 14:05:04,290 | INFO | temu_parcel_tracer | 失败数量: 0
2026-04-17 14:05:04,290 | INFO | temu_parcel_tracer | 成功批次: 1
