2026-01-24 10:18:23,829 | INFO | webchat_send | 正在打开微信...
2026-01-24 10:18:29,874 | INFO | webchat_send | 正在发送给：环创-开发曾小姐
2026-01-24 10:18:35,481 | INFO | webchat_send | 正在发送给：环创-开发陈小姐
2026-01-24 10:18:41,103 | INFO | webchat_send | 全部消息发送完成！
2026-01-24 10:18:41,211 | INFO | webchat_send | 已按下 ESC 键
2026-01-24 10:45:36,260 | INFO | webchat_send | 正在打开微信...
2026-01-24 10:45:40,784 | INFO | webchat_send | 正在发送给：环创-开发曾小姐
2026-01-24 10:45:46,401 | INFO | webchat_send | 正在发送给：环创-开发陈小姐
2026-01-24 10:45:52,015 | INFO | webchat_send | 全部消息发送完成！
2026-01-24 10:45:52,123 | INFO | webchat_send | 已按下 ESC 键
2026-01-24 10:56:36,858 | INFO | webchat_send | 正在打开微信...
2026-01-24 10:56:41,399 | INFO | webchat_send | 正在发送给：环创-开发曾小姐
2026-01-24 10:56:47,008 | INFO | webchat_send | 正在发送给：环创-开发陈小姐
2026-01-24 10:56:52,613 | INFO | webchat_send | 全部消息发送完成！
2026-01-24 10:56:52,722 | INFO | webchat_send | 已按下 ESC 键
2026-01-24 11:06:20,395 | INFO | webchat_send | 正在打开微信...
2026-01-24 11:06:23,909 | INFO | webchat_send | 正在发送给：环创-开发曾小姐
2026-01-24 11:06:29,516 | INFO | webchat_send | 正在发送给：环创-开发陈小姐
2026-01-24 11:06:35,143 | INFO | webchat_send | 全部消息发送完成！
2026-01-24 11:06:35,252 | INFO | webchat_send | 已按下 ESC 键
2026-01-24 11:13:47,335 | INFO | webchat_send | 正在打开微信...
2026-01-24 11:13:50,864 | INFO | webchat_send | 正在发送给：环创-开发曾小姐
2026-01-24 11:13:56,482 | INFO | webchat_send | 正在发送给：环创-开发陈小姐
2026-01-24 11:14:02,115 | INFO | webchat_send | 全部消息发送完成！
2026-01-24 11:14:02,224 | INFO | webchat_send | 已按下 ESC 键
2026-01-24 11:14:36,710 | INFO | webchat_send | 正在打开微信...
2026-01-24 11:14:40,254 | INFO | webchat_send | 正在发送给：环创-开发曾小姐
2026-01-24 11:14:45,880 | INFO | webchat_send | 正在发送给：环创-开发陈小姐
2026-01-24 11:14:51,478 | INFO | webchat_send | 全部消息发送完成！
2026-01-24 11:14:51,586 | INFO | webchat_send | 已按下 ESC 键
2026-01-24 11:34:37,038 | INFO | webchat_send | 正在打开微信...
2026-01-24 11:34:40,568 | INFO | webchat_send | 正在发送给：环创-开发曾小姐
2026-01-24 11:34:46,173 | INFO | webchat_send | 正在发送给：环创-开发陈小姐
2026-01-24 11:34:51,810 | INFO | webchat_send | 全部消息发送完成！
2026-01-24 11:34:51,919 | INFO | webchat_send | 已按下 ESC 键
2026-01-24 11:35:16,165 | INFO | webchat_send | 正在打开微信...
2026-01-24 11:35:19,686 | INFO | webchat_send | 正在发送给：环创-开发曾小姐
2026-01-24 11:35:25,297 | INFO | webchat_send | 正在发送给：环创-开发陈小姐
2026-01-24 11:35:30,938 | INFO | webchat_send | 全部消息发送完成！
2026-01-24 11:35:31,048 | INFO | webchat_send | 已按下 ESC 键
